session_id,user_id,channel,language,total_duration_sec,total_turns,final_outcome,is_completed,is_abandoned,is_transferred,transfer_reason,session_date,session_month
S2053,U1026,voice,KINYARWANDA,395,5,completed,1,0,0,,"March 9, 2025","March 1, 2025"
S2054,U1156,voice,KINYARWANDA,19,4,completed,1,0,0,,"January 19, 2025","January 1, 2025"
S2055,U1238,voice,KINYARWANDA,66,3,transferred,0,0,1,user_request,"March 7, 2025","March 1, 2025"
S2056,U1155,voice,KINYARWANDA,31,12,abandoned,0,1,0,user_request,"February 8, 2025","February 1, 2025"
S2057,U1290,voice,KINYARWANDA,174,5,abandoned,0,1,0,repeated_errors,"March 14, 2025","March 1, 2025"
S2058,U1135,voice,KINYARWANDA,114,3,transferred,0,0,1,,"January 19, 2025","January 1, 2025"
S2059,U1143,voice,KINYARWANDA,299,14,completed,1,0,0,repeated_errors,"January 16, 2025","January 1, 2025"
S2060,U1105,voice,KINYARWANDA,35,3,abandoned,0,1,0,user_request,"February 23, 2025","February 1, 2025"
S2061,U1419,voice,KINYARWANDA,91,14,abandoned,0,1,0,,"January 25, 2025","January 1, 2025"
S2062,U1157,voice,KINYARWANDA,257,3,transferred,0,0,1,,"April 22, 2025","April 1, 2025"
S2063,U1145,voice,KINYARWANDA,80,10,transferred,0,0,1,user_request,"January 18, 2025","January 1, 2025"
S2064,U1001,voice,KINYARWANDA,74,5,abandoned,0,1,0,,"January 23, 2025","January 1, 2025"
S2065,U1432,voice,KINYARWANDA,65,13,completed,1,0,0,user_request,"April 27, 2025","April 1, 2025"
S2066,U1076,voice,KINYARWANDA,45,3,abandoned,0,1,0,,"March 26, 2025","March 1, 2025"
S2067,U1131,voice,KINYARWANDA,43,9,completed,1,0,0,,"January 11, 2025","January 1, 2025"
S2068,U1089,voice,KINYARWANDA,59,12,abandoned,0,1,0,,"February 8, 2025","February 1, 2025"
S2069,U1344,voice,KINYARWANDA,21,5,transferred,0,0,1,user_request,"April 15, 2025","April 1, 2025"
S2070,U1349,voice,KINYARWANDA,108,10,completed,1,0,0,,"March 9, 2025","March 1, 2025"
S2071,U1458,voice,KINYARWANDA,67,6,abandoned,0,1,0,,"January 25, 2025","January 1, 2025"
S2072,U1262,voice,KINYARWANDA,4,6,completed,1,0,0,repeated_errors,"March 4, 2025","March 1, 2025"
S2073,U1350,voice,KINYARWANDA,22,7,completed,1,0,0,repeated_errors,"April 6, 2025","April 1, 2025"
S2074,U1107,voice,KINYARWANDA,4,8,completed,1,0,0,system,"January 30, 2025","January 1, 2025"
S2075,U1073,voice,KINYARWANDA,24,9,abandoned,0,1,0,,"February 14, 2025","February 1, 2025"
S2076,U1038,voice,KINYARWANDA,219,6,transferred,0,0,1,,"March 31, 2025","March 1, 2025"
S2077,U1396,voice,KINYARWANDA,109,10,transferred,0,0,1,system,"March 2, 2025","March 1, 2025"
S2078,U1158,voice,KINYARWANDA,66,8,completed,1,0,0,repeated_errors,"April 10, 2025","April 1, 2025"
S2079,U1070,voice,KINYARWANDA,172,3,transferred,0,0,1,,"February 20, 2025","February 1, 2025"
S2080,U1446,voice,KINYARWANDA,66,3,abandoned,0,1,0,,"April 8, 2025","April 1, 2025"
S2081,U1311,voice,KINYARWANDA,27,11,completed,1,0,0,user_request,"January 9, 2025","January 1, 2025"
S2082,U1240,voice,KINYARWANDA,61,12,completed,1,0,0,,"March 17, 2025","March 1, 2025"
S2083,U1425,voice,KINYARWANDA,181,8,completed,1,0,0,repeated_errors,"January 2, 2025","January 1, 2025"
S2084,U1444,voice,KINYARWANDA,115,12,transferred,0,0,1,,"April 12, 2025","April 1, 2025"
S2085,U1297,voice,KINYARWANDA,198,10,abandoned,0,1,0,,"January 5, 2025","January 1, 2025"
S2086,U1439,voice,KINYARWANDA,95,9,abandoned,0,1,0,repeated_errors,"March 3, 2025","March 1, 2025"
S2087,U1035,voice,KINYARWANDA,60,14,completed,1,0,0,,"March 10, 2025","March 1, 2025"
S2088,U1083,voice,KINYARWANDA,264,8,abandoned,0,1,0,,"February 21, 2025","February 1, 2025"
S2089,U1451,voice,KINYARWANDA,54,6,completed,1,0,0,,"March 27, 2025","March 1, 2025"
S2090,U1373,voice,KINYARWANDA,180,9,completed,1,0,0,,"January 5, 2025","January 1, 2025"
S2091,U1262,voice,KINYARWANDA,34,11,abandoned,0,1,0,repeated_errors,"February 28, 2025","February 1, 2025"
S2092,U1309,voice,KINYARWANDA,176,13,completed,1,0,0,user_request,"March 9, 2025","March 1, 2025"
S2093,U1384,voice,KINYARWANDA,147,12,abandoned,0,1,0,user_request,"January 9, 2025","January 1, 2025"
S2094,U1171,voice,KINYARWANDA,177,12,completed,1,0,0,,"April 3, 2025","April 1, 2025"
S2095,U1375,voice,KINYARWANDA,32,9,abandoned,0,1,0,,"January 22, 2025","January 1, 2025"
S2096,U1172,voice,KINYARWANDA,115,3,completed,1,0,0,,"January 27, 2025","January 1, 2025"
S2097,U1361,voice,KINYARWANDA,49,12,abandoned,0,1,0,system,"January 10, 2025","January 1, 2025"
S2098,U1046,voice,KINYARWANDA,18,11,completed,1,0,0,user_request,"March 21, 2025","March 1, 2025"
S2099,U1378,voice,KINYARWANDA,45,6,completed,1,0,0,user_request,"April 16, 2025","April 1, 2025"
S2100,U1140,voice,KINYARWANDA,242,5,transferred,0,0,1,,"April 16, 2025","April 1, 2025"
S2101,U1374,voice,KINYARWANDA,242,6,completed,1,0,0,,"March 2, 2025","March 1, 2025"
S2102,U1405,voice,KINYARWANDA,35,6,abandoned,0,1,0,,"February 20, 2025","February 1, 2025"
S2103,U1117,voice,KINYARWANDA,100,12,transferred,0,0,1,,"January 10, 2025","January 1, 2025"
S2104,U1276,voice,KINYARWANDA,139,13,completed,1,0,0,,"January 6, 2025","January 1, 2025"
S2105,U1213,voice,KINYARWANDA,37,4,completed,1,0,0,system,"March 3, 2025","March 1, 2025"
S2106,U1219,voice,KINYARWANDA,149,14,abandoned,0,1,0,,"April 23, 2025","April 1, 2025"
S2107,U1392,voice,KINYARWANDA,189,3,transferred,0,0,1,,"January 5, 2025","January 1, 2025"
S2108,U1025,voice,KINYARWANDA,86,14,transferred,0,0,1,,"March 11, 2025","March 1, 2025"
S2109,U1008,voice,KINYARWANDA,51,12,completed,1,0,0,system,"March 4, 2025","March 1, 2025"
S2110,U1270,voice,KINYARWANDA,87,14,abandoned,0,1,0,repeated_errors,"February 25, 2025","February 1, 2025"
S2111,U1009,voice,KINYARWANDA,23,3,completed,1,0,0,repeated_errors,"February 28, 2025","February 1, 2025"
S2112,U1471,voice,KINYARWANDA,205,10,transferred,0,0,1,system,"March 4, 2025","March 1, 2025"
S2113,U1377,voice,KINYARWANDA,76,4,transferred,0,0,1,,"April 21, 2025","April 1, 2025"
S2114,U1120,voice,KINYARWANDA,214,14,completed,1,0,0,repeated_errors,"March 30, 2025","March 1, 2025"
S2115,U1124,voice,KINYARWANDA,110,12,completed,1,0,0,,"February 28, 2025","February 1, 2025"
S2116,U1169,voice,KINYARWANDA,43,7,completed,1,0,0,,"February 20, 2025","February 1, 2025"
S2117,U1071,voice,KINYARWANDA,8,14,completed,1,0,0,user_request,"February 19, 2025","February 1, 2025"
S2118,U1151,voice,KINYARWANDA,94,6,abandoned,0,1,0,user_request,"January 4, 2025","January 1, 2025"
S2119,U1207,voice,KINYARWANDA,75,10,completed,1,0,0,,"April 14, 2025","April 1, 2025"
S2120,U1048,voice,KINYARWANDA,138,4,completed,1,0,0,,"February 17, 2025","February 1, 2025"
S2121,U1153,voice,KINYARWANDA,39,12,completed,1,0,0,,"February 1, 2025","February 1, 2025"
S2122,U1346,voice,KINYARWANDA,88,11,transferred,0,0,1,,"April 30, 2025","April 1, 2025"
S2123,U1292,voice,KINYARWANDA,137,9,abandoned,0,1,0,,"February 20, 2025","February 1, 2025"
S2124,U1067,voice,KINYARWANDA,137,9,completed,1,0,0,,"February 21, 2025","February 1, 2025"
S2125,U1049,voice,KINYARWANDA,241,3,completed,1,0,0,,"April 9, 2025","April 1, 2025"
S2126,U1151,voice,KINYARWANDA,227,14,transferred,0,0,1,user_request,"March 15, 2025","March 1, 2025"
S2127,U1018,voice,KINYARWANDA,108,4,abandoned,0,1,0,,"February 3, 2025","February 1, 2025"
S2128,U1099,voice,KINYARWANDA,102,6,completed,1,0,0,,"February 5, 2025","February 1, 2025"
S2129,U1059,voice,KINYARWANDA,136,6,completed,1,0,0,,"March 11, 2025","March 1, 2025"
S2130,U1166,voice,KINYARWANDA,16,13,completed,1,0,0,user_request,"February 12, 2025","February 1, 2025"
S2131,U1201,voice,KINYARWANDA,24,5,completed,1,0,0,,"April 20, 2025","April 1, 2025"
S2132,U1344,voice,KINYARWANDA,36,9,abandoned,0,1,0,,"January 16, 2025","January 1, 2025"
S2133,U1145,voice,KINYARWANDA,97,14,transferred,0,0,1,,"February 28, 2025","February 1, 2025"
S2134,U1402,voice,KINYARWANDA,67,10,completed,1,0,0,repeated_errors,"February 22, 2025","February 1, 2025"
S2135,U1163,voice,KINYARWANDA,46,4,abandoned,0,1,0,repeated_errors,"January 19, 2025","January 1, 2025"
S2136,U1457,voice,KINYARWANDA,107,6,completed,1,0,0,user_request,"April 8, 2025","April 1, 2025"
S2137,U1480,voice,KINYARWANDA,474,5,abandoned,0,1,0,system,"March 30, 2025","March 1, 2025"
S2138,U1438,voice,KINYARWANDA,15,4,abandoned,0,1,0,user_request,"April 5, 2025","April 1, 2025"
S2139,U1241,voice,KINYARWANDA,70,14,completed,1,0,0,repeated_errors,"April 23, 2025","April 1, 2025"
S2140,U1068,voice,KINYARWANDA,201,8,completed,1,0,0,,"February 10, 2025","February 1, 2025"
S2141,U1174,voice,KINYARWANDA,102,6,abandoned,0,1,0,,"March 22, 2025","March 1, 2025"
S2142,U1048,voice,KINYARWANDA,28,8,completed,1,0,0,system,"February 16, 2025","February 1, 2025"
S2143,U1482,voice,KINYARWANDA,113,4,completed,1,0,0,,"April 4, 2025","April 1, 2025"
S2144,U1107,voice,KINYARWANDA,232,14,completed,1,0,0,,"April 13, 2025","April 1, 2025"
S2145,U1225,voice,KINYARWANDA,64,6,transferred,0,0,1,repeated_errors,"February 23, 2025","February 1, 2025"
S2146,U1160,voice,KINYARWANDA,150,13,completed,1,0,0,,"February 24, 2025","February 1, 2025"
S2147,U1118,voice,KINYARWANDA,38,8,abandoned,0,1,0,repeated_errors,"April 5, 2025","April 1, 2025"
S2148,U1148,voice,KINYARWANDA,32,7,completed,1,0,0,repeated_errors,"January 19, 2025","January 1, 2025"
S2149,U1464,voice,KINYARWANDA,55,5,abandoned,0,1,0,,"March 3, 2025","March 1, 2025"
S2150,U1149,voice,KINYARWANDA,139,10,abandoned,0,1,0,user_request,"April 9, 2025","April 1, 2025"
S2151,U1431,voice,KINYARWANDA,292,9,transferred,0,0,1,,"April 3, 2025","April 1, 2025"
S2152,U1292,voice,KINYARWANDA,276,5,completed,1,0,0,,"February 28, 2025","February 1, 2025"
S2153,U1142,voice,KINYARWANDA,56,8,abandoned,0,1,0,,"March 6, 2025","March 1, 2025"
S2154,U1418,voice,KINYARWANDA,105,6,abandoned,0,1,0,repeated_errors,"March 9, 2025","March 1, 2025"
S2155,U1475,voice,KINYARWANDA,101,13,completed,1,0,0,user_request,"January 28, 2025","January 1, 2025"
S2156,U1454,voice,KINYARWANDA,159,7,completed,1,0,0,,"January 18, 2025","January 1, 2025"
S2157,U1159,voice,KINYARWANDA,12,13,completed,1,0,0,repeated_errors,"January 26, 2025","January 1, 2025"
S2158,U1010,voice,KINYARWANDA,94,7,completed,1,0,0,,"April 14, 2025","April 1, 2025"
S2159,U1137,voice,KINYARWANDA,15,9,transferred,0,0,1,system,"January 19, 2025","January 1, 2025"
S2160,U1456,voice,KINYARWANDA,337,13,completed,1,0,0,,"February 24, 2025","February 1, 2025"
S2161,U1077,voice,KINYARWANDA,247,7,completed,1,0,0,repeated_errors,"April 29, 2025","April 1, 2025"
S2162,U1076,voice,KINYARWANDA,48,13,abandoned,0,1,0,,"February 26, 2025","February 1, 2025"
S2163,U1440,voice,KINYARWANDA,368,5,completed,1,0,0,,"January 6, 2025","January 1, 2025"
S2164,U1253,voice,KINYARWANDA,34,12,completed,1,0,0,,"January 1, 2025","January 1, 2025"
S2165,U1408,voice,KINYARWANDA,113,7,completed,1,0,0,user_request,"January 8, 2025","January 1, 2025"
S2166,U1257,voice,KINYARWANDA,99,9,transferred,0,0,1,,"April 7, 2025","April 1, 2025"
S2167,U1319,voice,KINYARWANDA,26,7,transferred,0,0,1,system,"February 20, 2025","February 1, 2025"
S2168,U1290,voice,KINYARWANDA,194,7,transferred,0,0,1,,"April 17, 2025","April 1, 2025"
S2169,U1262,voice,KINYARWANDA,185,11,completed,1,0,0,,"March 26, 2025","March 1, 2025"
S2170,U1084,voice,KINYARWANDA,174,5,abandoned,0,1,0,,"March 29, 2025","March 1, 2025"
S2171,U1145,voice,KINYARWANDA,106,8,completed,1,0,0,user_request,"January 25, 2025","January 1, 2025"
S2172,U1322,voice,KINYARWANDA,209,3,completed,1,0,0,,"February 16, 2025","February 1, 2025"
S2173,U1041,voice,KINYARWANDA,64,12,completed,1,0,0,user_request,"February 24, 2025","February 1, 2025"
S2174,U1373,voice,KINYARWANDA,200,7,abandoned,0,1,0,system,"March 5, 2025","March 1, 2025"
S2175,U1124,voice,KINYARWANDA,90,10,completed,1,0,0,system,"April 17, 2025","April 1, 2025"
S2176,U1166,voice,KINYARWANDA,74,7,completed,1,0,0,,"March 24, 2025","March 1, 2025"
S2177,U1424,voice,KINYARWANDA,140,11,completed,1,0,0,repeated_errors,"April 3, 2025","April 1, 2025"
S2178,U1240,voice,KINYARWANDA,142,13,completed,1,0,0,user_request,"April 27, 2025","April 1, 2025"
S2179,U1458,voice,KINYARWANDA,83,8,abandoned,0,1,0,,"January 10, 2025","January 1, 2025"
S2180,U1486,voice,KINYARWANDA,46,10,completed,1,0,0,repeated_errors,"February 25, 2025","February 1, 2025"
S2181,U1279,voice,KINYARWANDA,141,12,abandoned,0,1,0,,"January 12, 2025","January 1, 2025"
S2182,U1187,voice,KINYARWANDA,14,10,completed,1,0,0,,"February 2, 2025","February 1, 2025"
S2183,U1301,voice,KINYARWANDA,54,5,abandoned,0,1,0,,"April 30, 2025","April 1, 2025"
S2184,U1018,voice,KINYARWANDA,128,9,abandoned,0,1,0,,"March 12, 2025","March 1, 2025"
S2185,U1067,voice,KINYARWANDA,34,9,completed,1,0,0,,"January 17, 2025","January 1, 2025"
S2186,U1217,voice,KINYARWANDA,94,12,completed,1,0,0,,"March 2, 2025","March 1, 2025"
S2187,U1101,voice,KINYARWANDA,136,14,abandoned,0,1,0,repeated_errors,"January 10, 2025","January 1, 2025"
S2188,U1041,voice,KINYARWANDA,75,8,abandoned,0,1,0,,"January 31, 2025","January 1, 2025"
S2189,U1287,voice,KINYARWANDA,67,14,completed,1,0,0,,"March 1, 2025","March 1, 2025"
S2190,U1166,voice,KINYARWANDA,55,9,completed,1,0,0,,"March 11, 2025","March 1, 2025"
S2191,U1108,voice,KINYARWANDA,113,4,transferred,0,0,1,repeated_errors,"January 17, 2025","January 1, 2025"
S2192,U1493,voice,KINYARWANDA,225,11,abandoned,0,1,0,repeated_errors,"February 19, 2025","February 1, 2025"
S2193,U1035,voice,KINYARWANDA,71,12,completed,1,0,0,repeated_errors,"February 6, 2025","February 1, 2025"
S2194,U1231,voice,KINYARWANDA,26,12,completed,1,0,0,repeated_errors,"March 23, 2025","March 1, 2025"
S2195,U1228,voice,KINYARWANDA,162,3,completed,1,0,0,,"March 3, 2025","March 1, 2025"
S2196,U1352,voice,KINYARWANDA,134,3,abandoned,0,1,0,user_request,"March 31, 2025","March 1, 2025"
S2197,U1163,voice,KINYARWANDA,358,5,completed,1,0,0,,"April 23, 2025","April 1, 2025"
S2198,U1386,voice,KINYARWANDA,177,5,transferred,0,0,1,,"April 28, 2025","April 1, 2025"
S2199,U1072,voice,KINYARWANDA,51,3,completed,1,0,0,repeated_errors,"March 21, 2025","March 1, 2025"
S2200,U1135,voice,KINYARWANDA,39,14,completed,1,0,0,,"March 13, 2025","March 1, 2025"
S2201,U1352,voice,KINYARWANDA,55,9,abandoned,0,1,0,repeated_errors,"March 29, 2025","March 1, 2025"
S2202,U1378,voice,KINYARWANDA,275,6,transferred,0,0,1,repeated_errors,"March 18, 2025","March 1, 2025"
S2203,U1069,voice,KINYARWANDA,149,12,abandoned,0,1,0,,"January 29, 2025","January 1, 2025"
S2204,U1424,voice,KINYARWANDA,177,4,completed,1,0,0,,"February 1, 2025","February 1, 2025"
S2205,U1486,voice,KINYARWANDA,165,12,abandoned,0,1,0,,"March 29, 2025","March 1, 2025"
S2206,U1195,voice,KINYARWANDA,190,7,abandoned,0,1,0,system,"March 21, 2025","March 1, 2025"
S2207,U1268,voice,KINYARWANDA,42,8,completed,1,0,0,repeated_errors,"January 11, 2025","January 1, 2025"
S2208,U1048,voice,KINYARWANDA,87,11,completed,1,0,0,,"April 6, 2025","April 1, 2025"
S2209,U1315,voice,KINYARWANDA,112,6,completed,1,0,0,,"January 6, 2025","January 1, 2025"
S2210,U1129,voice,KINYARWANDA,182,4,completed,1,0,0,repeated_errors,"February 4, 2025","February 1, 2025"
S2211,U1443,voice,KINYARWANDA,112,7,transferred,0,0,1,user_request,"February 2, 2025","February 1, 2025"
S2212,U1004,voice,KINYARWANDA,154,5,completed,1,0,0,,"January 18, 2025","January 1, 2025"
S2213,U1427,voice,KINYARWANDA,87,4,transferred,0,0,1,,"February 6, 2025","February 1, 2025"
S2214,U1026,voice,KINYARWANDA,106,14,completed,1,0,0,user_request,"January 13, 2025","January 1, 2025"
S2215,U1159,voice,KINYARWANDA,62,3,abandoned,0,1,0,,"March 15, 2025","March 1, 2025"
S2216,U1148,voice,KINYARWANDA,47,12,completed,1,0,0,,"April 11, 2025","April 1, 2025"
S2217,U1263,voice,KINYARWANDA,135,4,completed,1,0,0,system,"March 31, 2025","March 1, 2025"
S2218,U1229,voice,KINYARWANDA,61,8,completed,1,0,0,repeated_errors,"April 20, 2025","April 1, 2025"
S2219,U1199,voice,KINYARWANDA,48,10,completed,1,0,0,,"March 22, 2025","March 1, 2025"
S2220,U1049,voice,KINYARWANDA,71,5,abandoned,0,1,0,,"March 5, 2025","March 1, 2025"
S2221,U1066,voice,KINYARWANDA,97,13,completed,1,0,0,,"January 1, 2025","January 1, 2025"
S2222,U1299,voice,KINYARWANDA,124,11,abandoned,0,1,0,,"March 4, 2025","March 1, 2025"
S2223,U1380,voice,KINYARWANDA,48,14,completed,1,0,0,user_request,"March 30, 2025","March 1, 2025"
S2224,U1057,voice,KINYARWANDA,79,11,completed,1,0,0,,"February 3, 2025","February 1, 2025"
S2225,U1258,voice,KINYARWANDA,127,4,completed,1,0,0,repeated_errors,"April 13, 2025","April 1, 2025"
S2226,U1341,voice,KINYARWANDA,48,10,transferred,0,0,1,system,"January 10, 2025","January 1, 2025"
S2227,U1325,voice,KINYARWANDA,254,12,abandoned,0,1,0,,"March 25, 2025","March 1, 2025"
S2228,U1129,voice,KINYARWANDA,218,13,completed,1,0,0,,"January 7, 2025","January 1, 2025"
S2229,U1214,voice,KINYARWANDA,151,14,completed,1,0,0,,"February 25, 2025","February 1, 2025"
S2230,U1171,voice,KINYARWANDA,161,7,completed,1,0,0,system,"March 21, 2025","March 1, 2025"
S2231,U1257,voice,KINYARWANDA,87,6,transferred,0,0,1,user_request,"February 6, 2025","February 1, 2025"
S2232,U1101,voice,KINYARWANDA,75,12,abandoned,0,1,0,,"January 29, 2025","January 1, 2025"
S2233,U1208,voice,KINYARWANDA,342,7,completed,1,0,0,repeated_errors,"January 12, 2025","January 1, 2025"
S2234,U1290,voice,KINYARWANDA,109,6,abandoned,0,1,0,repeated_errors,"January 17, 2025","January 1, 2025"
S2235,U1353,voice,KINYARWANDA,77,10,completed,1,0,0,system,"February 17, 2025","February 1, 2025"
S2236,U1470,voice,KINYARWANDA,44,6,transferred,0,0,1,,"March 25, 2025","March 1, 2025"
S2237,U1285,voice,KINYARWANDA,108,12,completed,1,0,0,,"January 26, 2025","January 1, 2025"
S2238,U1115,voice,KINYARWANDA,114,14,abandoned,0,1,0,user_request,"April 22, 2025","April 1, 2025"
S2239,U1263,voice,KINYARWANDA,106,8,completed,1,0,0,,"March 24, 2025","March 1, 2025"
S2240,U1149,voice,KINYARWANDA,160,4,abandoned,0,1,0,,"April 21, 2025","April 1, 2025"
S2241,U1299,voice,KINYARWANDA,80,7,abandoned,0,1,0,,"January 12, 2025","January 1, 2025"
S2242,U1441,voice,KINYARWANDA,254,8,abandoned,0,1,0,,"January 21, 2025","January 1, 2025"
S2243,U1035,voice,KINYARWANDA,63,7,abandoned,0,1,0,,"February 11, 2025","February 1, 2025"
S2244,U1452,voice,KINYARWANDA,69,14,transferred,0,0,1,system,"March 2, 2025","March 1, 2025"
S2245,U1332,voice,KINYARWANDA,76,4,completed,1,0,0,,"February 27, 2025","February 1, 2025"
S2246,U1476,voice,KINYARWANDA,85,9,completed,1,0,0,,"February 23, 2025","February 1, 2025"
S2247,U1286,voice,KINYARWANDA,55,6,completed,1,0,0,repeated_errors,"February 3, 2025","February 1, 2025"
S2248,U1302,voice,KINYARWANDA,13,10,transferred,0,0,1,,"January 7, 2025","January 1, 2025"
S2249,U1310,voice,KINYARWANDA,53,9,completed,1,0,0,,"April 19, 2025","April 1, 2025"
S2250,U1207,voice,KINYARWANDA,157,9,abandoned,0,1,0,repeated_errors,"February 4, 2025","February 1, 2025"
S2251,U1105,voice,KINYARWANDA,31,11,abandoned,0,1,0,user_request,"January 15, 2025","January 1, 2025"
S2252,U1445,voice,KINYARWANDA,153,3,completed,1,0,0,repeated_errors,"March 6, 2025","March 1, 2025"
S2253,U1157,voice,KINYARWANDA,347,12,completed,1,0,0,repeated_errors,"March 31, 2025","March 1, 2025"
S2254,U1120,voice,KINYARWANDA,233,8,completed,1,0,0,,"April 9, 2025","April 1, 2025"
