session_id,user_id,channel,language,session_date,session_month,region,is_disabled,is_first_time_user,is_vulnerable_user,final_outcome,is_completed,is_abandoned,is_transferred,transfer_reason,total_duration_sec,total_turns,avg_asr_confidence,avg_intent_confidence,misunderstanding_rate,silence_rate,is_recovered,is_escalated,had_errors,user_turns,system_turns,total_error_turns,misunderstanding_turns,silence_turns,noise_turns,turn_error_rate_pct,repeat_intent_rate_pct,intent_service_lookup_count,intent_start_application_count,intent_repeat_count,intent_unknown_count,total_application_attempts,had_successful_application,applications_completed,applications_abandoned,applications_failed,services_attempted,primary_service_code,application_channel,avg_time_to_submit_sec,kpi_accessibility_segment,kpi_vulnerable_completed,kpi_disabled_completed,kpi_firsttime_completed,kpi_vulnerable_escalated,kpi_end_to_end_success,kpi_error_recovery_success,kpi_high_misunderstanding,kpi_high_silence,kpi_high_confusion,kpi_reached_application,kpi_application_success,ai_quality_score
S2010,U1481,voice,KINYARWANDA,"January 22, 2025","January 1, 2025",urban,0,1,1,completed,1,0,0,user_request,142,4,0.71,0.8,0,0.25,1,0,0,4,0,1,0,1,0,25,0,2,1,0,1,0,0,0,0,0,[],,,,1,1,0,1,0,0,0,0,0,0,0,0,100
S2011,U1303,voice,KINYARWANDA,"March 18, 2025","March 1, 2025",urban,0,0,0,completed,1,0,0,user_request,82,10,0.65,0.8,0.4,0.2,0,0,0,2,3,4,2,1,1,80,20,3,1,1,0,2,1,2,0,0,[BIRTH_CERT],BIRTH_CERT,ussd,"1,190",0,0,0,0,0,1,0,1,0,0,1,1,92
S2012,U1292,voice,KINYARWANDA,"March 21, 2025","March 1, 2025",urban,0,0,0,completed,1,0,0,,28,12,0.75,0.7,0.5,0,0,0,0,3,5,4,4,0,0,50,12.5,5,1,1,1,1,1,1,0,0,[BIRTH_CERT],BIRTH_CERT,ussd,491,0,0,0,0,0,1,0,1,0,0,1,1,93.8
S2013,U1462,voice,KINYARWANDA,"April 26, 2025","April 1, 2025",urban,0,1,1,transferred,0,0,1,,209,13,0.79,0.75,0.4,0,0,0,0,3,2,2,2,0,0,40,40,1,2,2,0,0,0,0,0,0,[],,,,1,0,0,0,0,0,0,1,0,1,0,0,84
S2014,U1299,voice,KINYARWANDA,"April 3, 2025","April 1, 2025",rural,0,0,0,completed,1,0,0,,105,7,0.73,0.77,0,0.33,1,1,0,2,4,2,0,2,0,33.3,0,3,1,0,2,1,0,0,1,0,[BIRTH_CERT],BIRTH_CERT,voice,,0,0,0,0,0,0,0,0,1,0,1,0,100
S2015,U1227,voice,KINYARWANDA,"January 6, 2025","January 1, 2025",rural,0,1,1,completed,1,0,0,,204,7,0.81,0.61,0.23,0.077,1,0,0,5,8,4,3,1,0,30.8,0,3,7,0,3,1,0,0,0,1,[DL],DL,voice,,1,1,0,1,0,0,0,0,0,0,1,0,100
S2016,U1270,voice,KINYARWANDA,"January 26, 2025","January 1, 2025",urban,0,0,0,completed,1,0,0,,120,4,0.71,0.77,0.13,0.25,1,0,0,2,6,3,1,2,0,37.5,75,1,1,6,0,2,0,0,1,1,"[BIRTH_CERT, LAND]",BIRTH_CERT,voice,,0,0,0,0,0,0,0,0,0,1,1,0,100
S2017,U1042,voice,KINYARWANDA,"March 16, 2025","March 1, 2025",rural,0,1,1,abandoned,0,1,0,,68,9,0.81,0.85,0,0.67,1,1,0,2,1,2,0,2,0,66.7,33.3,1,0,1,1,0,0,0,0,0,[],,,,1,0,0,0,1,0,0,0,1,1,0,0,83.3
S2018,U1431,voice,KINYARWANDA,"March 29, 2025","March 1, 2025",urban,0,0,0,completed,1,0,0,repeated_errors,50,10,0.77,0.66,0.2,0.2,1,0,0,2,3,3,1,1,1,60,20,3,1,1,0,2,1,1,0,1,[LAND],LAND,ussd,774,0,0,0,0,0,1,0,0,0,0,1,1,100
S2019,U1342,voice,KINYARWANDA,"April 3, 2025","April 1, 2025",rural,0,0,0,transferred,0,0,1,,154,12,0.65,0.77,0.33,0,0,0,0,2,1,1,1,0,0,33.3,33.3,1,1,1,0,1,1,1,0,0,[DL],DL,web,137,0,0,0,0,0,0,0,1,0,1,1,1,86.7
S2020,U1325,voice,KINYARWANDA,"January 3, 2025","January 1, 2025",urban,0,1,1,completed,1,0,0,,279,3,0.74,0.79,0.11,0.22,1,0,0,6,3,3,1,2,0,33.3,22.2,1,5,2,1,2,1,2,0,0,"[ID_REPLACEMENT, BIRTH_CERT]",ID_REPLACEMENT,ussd,602.5,1,1,0,1,0,1,0,0,0,1,1,1,100
S2021,U1301,voice,KINYARWANDA,"February 21, 2025","February 1, 2025",rural,0,0,0,transferred,0,0,1,,145,4,0.84,0.46,0,0.5,0,1,0,1,1,2,0,1,1,100,0,1,0,0,1,0,0,0,0,0,[],,,,0,0,0,0,0,0,0,0,1,0,0,0,80
S2022,U1497,voice,KINYARWANDA,"March 15, 2025","March 1, 2025",rural,0,0,0,completed,1,0,0,user_request,66,12,0.78,0.68,0.17,0,1,0,0,5,1,1,1,0,0,16.7,16.7,1,3,1,1,1,0,0,1,0,[ID_REPLACEMENT],ID_REPLACEMENT,web,,0,0,0,0,0,0,0,0,0,0,1,0,100
S2023,U1363,voice,KINYARWANDA,"March 1, 2025","March 1, 2025",rural,0,0,0,abandoned,0,1,0,user_request,124,6,0.78,0.78,0,0.5,1,1,0,2,2,2,0,2,0,50,25,2,1,1,0,0,0,0,0,0,[],,,,0,0,0,0,0,0,0,0,1,1,0,0,87.5
S2024,U1378,voice,KINYARWANDA,"March 4, 2025","March 1, 2025",urban,1,1,1,transferred,0,0,1,,44,7,0.72,0.62,0,0.14,1,0,0,3,4,1,0,1,0,14.3,14.3,1,3,1,2,1,1,1,0,0,[LAND],LAND,web,357,1,0,0,0,0,0,0,0,0,0,1,1,100
S2025,U1426,voice,KINYARWANDA,"March 6, 2025","March 1, 2025",rural,0,1,1,completed,1,0,0,,144,4,0.85,0.7,0.67,0,0,0,0,1,2,2,2,0,0,66.7,0,2,1,0,0,0,0,0,0,0,[],,,,1,1,0,1,0,0,0,1,0,0,0,0,90
S2026,U1492,voice,KINYARWANDA,"February 21, 2025","February 1, 2025",rural,0,1,1,transferred,0,0,1,system,183,3,0.69,0.75,0.17,0.17,1,0,0,4,2,2,1,1,0,33.3,16.7,1,3,1,1,0,0,0,0,0,[],,,,1,0,0,0,0,0,0,0,0,0,0,0,100
S2027,U1020,voice,KINYARWANDA,"April 17, 2025","April 1, 2025",urban,0,0,0,completed,1,0,0,,73,11,0.72,0.69,0.5,0.25,0,0,0,2,6,6,4,2,0,75,25,3,0,2,3,1,0,0,1,0,[ID_REPLACEMENT],ID_REPLACEMENT,web,,0,0,0,0,0,0,0,1,0,1,1,0,87.5
S2028,U1406,voice,KINYARWANDA,"March 31, 2025","March 1, 2025",rural,0,0,0,transferred,0,0,1,,260,3,0.76,0.72,0.5,0,0,0,0,6,2,4,4,0,0,50,12.5,5,1,1,1,0,0,0,0,0,[],,,,0,0,0,0,0,0,0,1,0,0,0,0,83.8
S2029,U1106,voice,KINYARWANDA,"March 17, 2025","March 1, 2025",rural,0,1,1,abandoned,0,1,0,,65,6,0.76,0.76,0,0,1,0,0,3,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,[],,,,1,0,0,0,0,0,0,0,0,0,0,0,100
S2030,U1335,voice,KINYARWANDA,"January 14, 2025","January 1, 2025",rural,0,0,0,completed,1,0,0,,123,4,0.69,0.73,0.38,0,0,0,0,4,4,3,3,0,0,37.5,25,2,2,2,2,2,1,1,0,1,[ID_REPLACEMENT],ID_REPLACEMENT,web,428,0,0,0,0,0,1,0,1,0,1,1,1,96.2
S2031,U1302,voice,KINYARWANDA,"March 30, 2025","March 1, 2025",rural,0,1,1,completed,1,0,0,,169,13,0.68,0.63,0.25,0.13,0,0,0,4,4,3,2,1,0,37.5,12.5,1,3,1,3,0,0,0,0,0,[],,,,1,1,0,1,0,0,0,0,0,0,0,0,98.8
S2032,U1116,voice,KINYARWANDA,"March 13, 2025","March 1, 2025",urban,1,1,1,completed,1,0,0,system,73,6,0.86,0.6,0.2,0.2,0,0,0,3,2,2,1,1,0,40,0,3,2,0,0,1,1,1,0,0,[DL],DL,voice,885,1,1,1,1,0,1,0,0,0,0,1,1,100
S2033,U1123,voice,KINYARWANDA,"April 17, 2025","April 1, 2025",rural,0,0,0,completed,1,0,0,repeated_errors,35,10,0.75,0.74,0.25,0.13,0,0,0,6,2,3,2,1,0,37.5,37.5,3,1,3,1,1,1,1,0,0,[ID_REPLACEMENT],ID_REPLACEMENT,ussd,134,0,0,0,0,0,1,0,0,0,1,1,1,96.2
S2034,U1398,voice,KINYARWANDA,"March 9, 2025","March 1, 2025",urban,1,0,1,completed,1,0,0,,42,10,0.88,0.69,0,0,1,0,0,2,3,1,0,0,1,20,20,1,3,1,0,0,0,0,0,0,[],,,,1,1,1,0,0,0,0,0,0,0,0,0,100
S2035,U1280,voice,KINYARWANDA,"January 28, 2025","January 1, 2025",urban,0,0,0,completed,1,0,0,system,78,13,0.65,0.64,0,0.5,1,1,0,2,2,3,0,2,1,75,25,1,2,1,0,2,1,1,1,0,[DL],DL,ussd,418,0,0,0,0,0,1,0,0,1,1,1,1,97.5
S2036,U1291,voice,KINYARWANDA,"March 12, 2025","March 1, 2025",rural,0,1,1,completed,1,0,0,,73,14,0.69,0.66,0.25,0.25,0,0,0,4,0,2,1,1,0,50,0,3,1,0,0,0,0,0,0,0,[],,,,1,1,0,1,0,0,0,0,0,0,0,0,97.5
S2037,U1202,voice,KINYARWANDA,"January 10, 2025","January 1, 2025",rural,0,1,1,abandoned,0,1,0,,98,11,0.78,0.67,0,0.4,1,1,0,2,3,2,0,2,0,40,20,2,0,1,2,0,0,0,0,0,[],,,,1,0,0,0,1,0,0,0,1,0,0,0,90
S2038,U1050,voice,KINYARWANDA,"April 25, 2025","April 1, 2025",urban,0,0,0,completed,1,0,0,repeated_errors,148,13,0.71,0.76,0.29,0.14,0,0,0,5,2,3,2,1,0,42.9,0,3,3,0,1,4,1,2,1,1,"[BIRTH_CERT, DL, ID_REPLACEMENT]",DL,web,298,0,0,0,0,0,1,0,0,0,0,1,1,98.6
S2039,U1270,voice,KINYARWANDA,"February 26, 2025","February 1, 2025",urban,0,0,0,completed,1,0,0,repeated_errors,185,14,0.73,0.75,0,0,1,0,0,3,2,0,0,0,0,0,20,2,2,1,0,0,0,0,0,0,[],,,,0,0,0,0,0,0,0,0,0,0,0,0,100
S2040,U1323,voice,KINYARWANDA,"April 10, 2025","April 1, 2025",rural,0,1,1,abandoned,0,1,0,,199,7,0.82,0.88,0.33,0.17,0,0,0,4,2,3,2,1,0,50,0,0,5,0,1,0,0,0,0,0,[],,,,1,0,0,0,0,0,0,1,0,0,0,0,86.7
S2041,U1276,voice,KINYARWANDA,"March 7, 2025","March 1, 2025",urban,0,1,1,completed,1,0,0,,358,9,0.8,0.67,0,0.29,1,0,0,4,3,2,0,2,0,28.6,14.3,3,3,1,0,1,1,1,0,0,[LAND],LAND,web,"1,151",1,1,0,1,0,1,0,0,0,0,1,1,100
S2042,U1140,voice,KINYARWANDA,"March 31, 2025","March 1, 2025",urban,1,0,1,completed,1,0,0,repeated_errors,51,5,0.59,0.84,0.33,0.33,0,1,0,3,0,2,1,1,0,66.7,0,3,0,0,0,1,1,1,0,0,[BIRTH_CERT],BIRTH_CERT,voice,322,1,1,1,0,1,1,0,1,1,0,1,1,83.3
S2043,U1469,voice,KINYARWANDA,"April 27, 2025","April 1, 2025",urban,0,0,0,completed,1,0,0,repeated_errors,365,12,0.81,0.71,0.17,0.17,1,0,0,2,4,2,1,1,0,33.3,33.3,1,1,2,2,0,0,0,0,0,[],,,,0,0,0,0,0,0,0,0,0,1,0,0,100
S2044,U1274,voice,KINYARWANDA,"February 19, 2025","February 1, 2025",rural,0,0,0,transferred,0,0,1,repeated_errors,90,6,0.68,0.65,0,0.33,1,1,0,3,0,1,0,1,0,33.3,0,2,0,0,1,1,1,1,0,0,[BIRTH_CERT],BIRTH_CERT,ussd,172,0,0,0,0,0,0,0,0,1,0,1,1,93.3
S2045,U1289,voice,KINYARWANDA,"January 14, 2025","January 1, 2025",rural,0,1,1,abandoned,0,1,0,,84,12,0.7,0.64,0.4,0.1,0,0,0,4,6,6,4,1,1,60,10,5,4,1,0,2,1,2,0,0,"[ID_REPLACEMENT, DL]",ID_REPLACEMENT,web,"1,077",1,0,0,0,0,0,0,1,0,0,1,1,85
S2046,U1333,voice,KINYARWANDA,"January 16, 2025","January 1, 2025",rural,0,0,0,completed,1,0,0,,179,11,0.81,0.69,0.17,0,1,0,0,3,3,3,1,0,2,50,33.3,2,0,2,2,0,0,0,0,0,[],,,,0,0,0,0,0,0,0,0,0,1,0,0,100
S2047,U1380,voice,KINYARWANDA,"February 23, 2025","February 1, 2025",rural,0,1,1,abandoned,0,1,0,,62,12,0.72,0.69,0.5,0,0,0,0,0,4,2,2,0,0,50,0,0,3,0,1,0,0,0,0,0,[],,,,1,0,0,0,0,0,0,1,0,0,0,0,85
S2048,U1451,voice,KINYARWANDA,"February 12, 2025","February 1, 2025",rural,0,0,0,completed,1,0,0,,159,12,0.7,0.77,0.2,0.2,1,0,0,3,2,2,1,1,0,40,20,3,1,1,0,2,1,1,1,0,"[ID_REPLACEMENT, DL]",ID_REPLACEMENT,web,353,0,0,0,0,0,1,0,0,0,0,1,1,100
S2049,U1495,voice,KINYARWANDA,"February 11, 2025","February 1, 2025",rural,1,0,1,abandoned,0,1,0,system,271,14,0.68,0.72,0,0.11,1,0,0,6,3,2,0,1,1,22.2,33.3,4,2,3,0,2,1,1,0,1,"[LAND, BIRTH_CERT]",LAND,web,382,1,0,0,0,0,0,0,0,0,1,1,1,100
S2050,U1372,voice,KINYARWANDA,"March 22, 2025","March 1, 2025",rural,0,0,0,abandoned,0,1,0,,74,3,0.77,0.64,0.29,0.14,0,0,0,3,4,4,2,1,1,57.1,42.9,1,2,3,1,0,0,0,0,0,[],,,,0,0,0,0,0,0,0,0,0,1,0,0,84.3
S2051,U1051,voice,KINYARWANDA,"April 20, 2025","April 1, 2025",urban,0,0,0,abandoned,0,1,0,,175,4,0.81,0.75,0,0,1,0,0,2,4,1,0,0,1,16.7,33.3,1,3,2,0,1,0,0,0,1,[DL],DL,web,,0,0,0,0,0,0,0,0,0,1,1,0,100
S2052,U1493,voice,KINYARWANDA,"January 22, 2025","January 1, 2025",rural,0,1,1,completed,1,0,0,user_request,149,7,0.64,0.66,0.33,0,0,0,0,4,2,2,2,0,0,33.3,0,2,3,0,1,0,0,0,0,0,[],,,,1,1,0,1,0,0,0,1,0,0,0,0,100
S2053,U1026,voice,KINYARWANDA,"March 9, 2025","March 1, 2025",rural,0,0,0,completed,1,0,0,,395,5,0.74,0.38,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,[],,,,0,0,0,0,0,0,0,0,0,0,0,0,100
S2054,U1156,voice,KINYARWANDA,"January 19, 2025","January 1, 2025",urban,0,1,1,completed,1,0,0,,19,4,0.64,0.65,0.5,0.25,0,0,0,1,3,3,2,1,0,75,0,2,0,0,2,1,1,1,0,0,[LAND],LAND,voice,413,1,1,0,1,0,1,0,1,0,0,1,1,90
S2055,U1238,voice,KINYARWANDA,"March 7, 2025","March 1, 2025",urban,0,0,0,transferred,0,0,1,user_request,66,3,0.84,0.84,0.25,0,0,0,0,3,1,1,1,0,0,25,25,1,1,1,1,1,0,0,1,0,[DL],DL,voice,,0,0,0,0,0,0,0,0,0,1,1,0,90
S2056,U1155,voice,KINYARWANDA,"February 8, 2025","February 1, 2025",rural,0,0,0,abandoned,0,1,0,user_request,31,12,0.65,0.72,0,0,1,0,0,1,2,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,[],,,,0,0,0,0,0,0,0,0,0,0,0,0,100
S2057,U1290,voice,KINYARWANDA,"March 14, 2025","March 1, 2025",rural,0,1,1,abandoned,0,1,0,repeated_errors,174,5,0.78,0.81,0.6,0,0,0,0,2,3,4,3,0,1,80,20,2,2,1,0,2,1,2,0,0,"[DL, BIRTH_CERT]",DL,ussd,288,1,0,0,0,0,0,0,1,0,0,1,1,80
S2058,U1135,voice,KINYARWANDA,"January 19, 2025","January 1, 2025",rural,0,1,1,transferred,0,0,1,,114,3,0.8,0.75,0.29,0.14,0,0,0,3,4,3,2,1,0,42.9,28.6,3,2,2,0,0,0,0,0,0,[],,,,1,0,0,0,0,0,0,0,0,1,0,0,85.7
S2059,U1143,voice,KINYARWANDA,"January 16, 2025","January 1, 2025",rural,0,0,0,completed,1,0,0,repeated_errors,299,14,0.46,0.64,0,1,1,1,1,1,0,1,0,1,0,100,0,0,1,0,0,1,1,1,0,0,[BIRTH_CERT],BIRTH_CERT,web,425,0,0,0,0,0,1,1,0,1,0,1,1,90
S2060,U1105,voice,KINYARWANDA,"February 23, 2025","February 1, 2025",rural,0,1,1,abandoned,0,1,0,user_request,35,3,0.81,0.83,0.5,0,0,0,0,2,2,2,2,0,0,50,0,3,0,0,1,2,1,1,0,1,[LAND],LAND,web,223,1,0,0,0,0,0,0,1,0,0,1,1,85
S2061,U1419,voice,KINYARWANDA,"January 25, 2025","January 1, 2025",urban,0,0,0,abandoned,0,1,0,,91,14,0.72,0.78,0.14,0,1,0,0,4,3,2,1,0,1,28.6,0,4,2,0,1,1,0,0,0,1,[ID_REPLACEMENT],ID_REPLACEMENT,web,,0,0,0,0,0,0,0,0,0,0,1,0,100
S2062,U1157,voice,KINYARWANDA,"April 22, 2025","April 1, 2025",urban,0,0,0,transferred,0,0,1,,257,3,0.85,0.58,0.17,0.17,0,0,0,4,2,2,1,1,0,33.3,0,3,2,0,1,2,0,0,0,2,[LAND],LAND,voice,,0,0,0,0,0,0,0,0,0,0,1,0,91.7
S2063,U1145,voice,KINYARWANDA,"January 18, 2025","January 1, 2025",rural,0,0,0,transferred,0,0,1,user_request,80,10,0.76,0.76,0,0.2,1,0,0,2,3,1,0,1,0,20,20,2,1,1,1,1,1,1,0,0,[BIRTH_CERT],BIRTH_CERT,ussd,802,0,0,0,0,0,0,0,0,0,0,1,1,100
S2064,U1001,voice,KINYARWANDA,"January 23, 2025","January 1, 2025",urban,0,0,0,abandoned,0,1,0,,74,5,0.68,0.73,0.29,0.29,0,0,0,5,2,5,2,2,1,71.4,14.3,3,1,1,2,1,1,1,0,0,[BIRTH_CERT],BIRTH_CERT,voice,182,0,0,0,0,0,0,0,0,0,0,1,1,84.3
S2065,U1432,voice,KINYARWANDA,"April 27, 2025","April 1, 2025",urban,0,0,0,completed,1,0,0,user_request,65,13,0.75,0.72,0.17,0,1,0,0,5,1,1,1,0,0,16.7,0,2,3,0,1,0,0,0,0,0,[],,,,0,0,0,0,0,0,0,0,0,0,0,0,100
S2066,U1076,voice,KINYARWANDA,"March 26, 2025","March 1, 2025",urban,0,1,1,abandoned,0,1,0,,45,3,0.69,0.68,0.29,0.14,0,0,0,1,6,3,2,1,0,42.9,14.3,2,0,1,4,0,0,0,0,0,[],,,,1,0,0,0,0,0,0,0,0,0,0,0,87.1
S2067,U1131,voice,KINYARWANDA,"January 11, 2025","January 1, 2025",rural,0,0,0,completed,1,0,0,,43,9,0.7,0.66,0.4,0.2,0,0,0,3,2,3,2,1,0,60,40,1,2,2,0,1,0,0,1,0,[ID_REPLACEMENT],ID_REPLACEMENT,web,,0,0,0,0,0,0,0,1,0,1,1,0,90
S2068,U1089,voice,KINYARWANDA,"February 8, 2025","February 1, 2025",rural,0,1,1,abandoned,0,1,0,,59,12,0.73,0.74,0,0.14,1,0,0,2,5,2,0,1,1,28.6,14.3,3,1,1,2,0,0,0,0,0,[],,,,1,0,0,0,0,0,0,0,0,0,0,0,100
S2069,U1344,voice,KINYARWANDA,"April 15, 2025","April 1, 2025",rural,0,0,0,transferred,0,0,1,user_request,21,5,0.8,0.68,0,0,1,0,0,2,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,[],,,,0,0,0,0,0,0,0,0,0,0,0,0,100
S2070,U1349,voice,KINYARWANDA,"March 9, 2025","March 1, 2025",urban,0,1,1,completed,1,0,0,,108,10,0.79,0.68,0,0.17,1,0,0,3,3,3,0,1,2,50,16.7,4,1,1,0,0,0,0,0,0,[],,,,1,1,0,1,0,0,0,0,0,0,0,0,100
S2071,U1458,voice,KINYARWANDA,"January 25, 2025","January 1, 2025",rural,0,1,1,abandoned,0,1,0,,67,6,0.71,0.61,0.17,0,1,0,0,5,1,1,1,0,0,16.7,0,3,3,0,0,0,0,0,0,0,[],,,,1,0,0,0,0,0,0,0,0,0,0,0,100
S2072,U1262,voice,KINYARWANDA,"March 4, 2025","March 1, 2025",rural,0,1,1,completed,1,0,0,repeated_errors,4,6,0.79,0.79,0.25,0,0,0,0,3,1,1,1,0,0,25,0,1,3,0,0,0,0,0,0,0,[],,,,1,1,0,1,0,0,0,0,0,0,0,0,100
S2073,U1350,voice,KINYARWANDA,"April 6, 2025","April 1, 2025",rural,1,0,1,completed,1,0,0,repeated_errors,22,7,0.76,0.76,0.14,0.29,1,0,0,4,3,3,1,2,0,42.9,42.9,1,2,3,1,1,0,0,1,0,[LAND],LAND,ussd,,1,1,1,0,0,0,0,0,0,1,1,0,100
S2074,U1107,voice,KINYARWANDA,"January 30, 2025","January 1, 2025",urban,0,0,0,completed,1,0,0,system,4,8,0.77,0.8,0,0,1,0,0,2,3,0,0,0,0,0,20,4,0,1,0,2,1,1,0,1,[BIRTH_CERT],BIRTH_CERT,voice,138,0,0,0,0,0,1,0,0,0,0,1,1,100
S2075,U1073,voice,KINYARWANDA,"February 14, 2025","February 1, 2025",urban,0,1,1,abandoned,0,1,0,,24,9,0.82,0.59,0.33,0,0,0,0,1,2,1,1,0,0,33.3,0,0,3,0,0,1,1,1,0,0,[BIRTH_CERT],BIRTH_CERT,voice,243,1,0,0,0,0,0,0,1,0,0,1,1,90
S2076,U1038,voice,KINYARWANDA,"March 31, 2025","March 1, 2025",urban,0,1,1,transferred,0,0,1,,219,6,0.87,0.64,0.33,0,0,0,0,5,1,2,2,0,0,33.3,16.7,3,0,1,2,1,0,0,1,0,[LAND],LAND,voice,,1,0,0,0,0,0,0,1,0,0,1,0,88.3
S2077,U1396,voice,KINYARWANDA,"March 2, 2025","March 1, 2025",urban,0,1,1,transferred,0,0,1,system,109,10,0.74,0.75,0.13,0.13,1,0,0,4,4,2,1,1,0,25,12.5,3,1,1,3,2,1,2,0,0,[LAND],LAND,web,413,1,0,0,0,0,0,0,0,0,0,1,1,100
S2078,U1158,voice,KINYARWANDA,"April 10, 2025","April 1, 2025",rural,0,0,0,completed,1,0,0,repeated_errors,66,8,0.86,0.64,0.17,0.17,1,0,0,6,6,5,2,2,1,41.7,33.3,2,4,4,2,0,0,0,0,0,[],,,,0,0,0,0,0,0,0,0,0,1,0,0,100
S2079,U1070,voice,KINYARWANDA,"February 20, 2025","February 1, 2025",urban,0,1,1,transferred,0,0,1,,172,3,0.77,0.63,0,0,1,0,0,1,2,0,0,0,0,0,0,3,0,0,0,1,0,0,1,0,[BIRTH_CERT],BIRTH_CERT,voice,,1,0,0,0,0,0,0,0,0,0,1,0,100
S2080,U1446,voice,KINYARWANDA,"April 8, 2025","April 1, 2025",urban,0,0,0,abandoned,0,1,0,,66,3,0.73,0.75,0.25,0,0,0,0,1,3,1,1,0,0,25,25,1,1,1,1,2,1,2,0,0,[DL],DL,ussd,511,0,0,0,0,0,0,0,0,0,1,1,1,90
S2081,U1311,voice,KINYARWANDA,"January 9, 2025","January 1, 2025",rural,0,0,0,completed,1,0,0,user_request,27,11,0.82,0.66,0.17,0,1,0,0,4,2,1,1,0,0,16.7,16.7,1,4,1,0,0,0,0,0,0,[],,,,0,0,0,0,0,0,0,0,0,0,0,0,100
