turn_id,session_id,turn_number,speaker,detected_intent,intent_confidence,asr_confidence,error_type,turn_duration_sec,created_at
T3029,S2283,2,user,service_lookup,0.54,0.91,silence,8,2025-04-29
T3030,S2474,12,system,start_application,0.65,0.42,,9,2025-02-26
T3031,S3077,12,system,service_lookup,0.64,0.84,silence,10,2025-02-24
T3032,S2631,5,user,service_lookup,0.61,0.83,misunderstanding,13,2025-03-24
T3033,S2702,11,user,service_lookup,0.71,0.6,misunderstanding,7,2025-04-05
T3034,S2408,10,system,service_lookup,0.98,0.92,,7,2025-04-07
T3035,S2981,3,user,start_application,0.84,0.42,,2,2025-03-01
T3036,S2558,9,user,service_lookup,0.89,0.69,,7,2025-03-15
T3037,S2221,11,system,service_lookup,0.65,0.89,,6,2025-03-09
T3038,S2157,1,user,start_application,0.67,0.66,noise,10,2025-04-14
T3039,S2347,4,system,service_lookup,0.63,0.86,,12,2025-02-05
T3040,S3182,10,system,service_lookup,0.65,0.8,,14,2025-01-29
T3041,S2888,6,user,repeat,0.74,0.86,,5,2025-02-11
T3042,S2921,9,system,start_application,0.94,0.73,silence,14,2025-04-28
T3043,S2661,3,user,unknown,0.76,0.88,,5,2025-02-18
T3044,S2404,3,system,start_application,0.34,0.8,misunderstanding,12,2025-03-18
T3045,S2676,12,system,unknown,0.69,0.46,,3,2025-01-16
T3046,S2588,5,user,service_lookup,0.9,0.93,misunderstanding,12,2025-04-20
T3047,S2557,7,system,start_application,0.68,0.69,,8,2025-04-05
T3048,S2904,14,system,start_application,0.5,0.78,,12,2025-04-12
T3049,S3070,5,user,unknown,0.63,0.71,misunderstanding,7,2025-02-02
T3050,S2478,11,system,start_application,0.72,0.78,,8,2025-04-23
T3051,S2486,8,user,unknown,0.5,0.78,misunderstanding,10,2025-01-11
T3052,S2565,5,user,start_application,0.69,0.9,,3,2025-02-20
T3053,S2523,7,user,repeat,0.47,0.73,silence,14,2025-03-03
T3054,S2703,6,system,unknown,0.85,0.82,,11,2025-03-31
T3055,S3029,14,system,unknown,0.59,0.93,silence,9,2025-03-09
T3056,S2820,10,system,repeat,0.53,0.69,,12,2025-02-03
T3057,S3167,13,system,service_lookup,0.68,0.73,silence,9,2025-02-07
T3058,S2857,2,system,service_lookup,0.85,0.92,misunderstanding,10,2025-04-21
T3059,S2584,3,user,service_lookup,0.79,0.98,,7,2025-02-28
T3060,S2685,11,user,service_lookup,0.76,0.74,,3,2025-04-11
T3061,S2231,11,user,service_lookup,0.64,0.76,silence,6,2025-03-13
T3062,S2269,4,user,start_application,0.87,0.84,,3,2025-02-12
T3063,S2939,5,user,repeat,0.86,0.95,,5,2025-02-19
T3064,S2873,9,system,service_lookup,0.86,0.83,,13,2025-04-13
T3065,S2051,6,system,start_application,0.42,0.76,,6,2025-01-30
T3066,S2115,1,user,service_lookup,0.95,0.9,misunderstanding,9,2025-01-20
T3067,S2537,3,user,unknown,0.69,0.75,misunderstanding,11,2025-03-21
T3068,S2540,7,user,service_lookup,0.78,0.64,,10,2025-01-15
T3069,S3042,8,system,start_application,0.9,0.78,,14,2025-01-04
T3070,S2814,7,user,unknown,0.69,0.62,,12,2025-04-10
T3071,S2790,5,system,service_lookup,0.51,0.85,,12,2025-01-27
T3072,S2617,10,user,repeat,0.76,0.8,misunderstanding,6,2025-02-05
T3073,S2418,8,system,unknown,0.42,0.6,,12,2025-02-03
T3074,S2308,9,user,service_lookup,0.52,0.89,,7,2025-03-24
T3075,S2863,7,user,unknown,0.93,0.64,,13,2025-04-14
T3076,S2185,11,user,repeat,0.57,0.68,misunderstanding,2,2025-04-20
T3077,S2260,9,user,service_lookup,0.22,0.77,,2,2025-02-17
T3078,S2159,1,system,service_lookup,0.91,0.82,,2,2025-02-27
T3079,S2869,14,user,start_application,0.87,0.92,silence,3,2025-01-21
T3080,S2761,9,user,unknown,0.73,0.65,misunderstanding,9,2025-02-11
T3081,S2223,3,system,service_lookup,0.74,0.58,,6,2025-02-22
T3082,S2179,6,user,repeat,0.2,0.83,misunderstanding,12,2025-01-21
T3083,S2019,8,user,service_lookup,0.68,0.85,misunderstanding,11,2025-04-29
T3084,S2631,3,system,repeat,0.72,0.86,,4,2025-01-25
T3085,S2057,4,system,start_application,0.88,0.83,misunderstanding,6,2025-03-22
T3086,S3116,7,user,start_application,0.89,0.53,misunderstanding,12,2025-03-23
T3087,S2722,12,system,start_application,0.75,0.92,,9,2025-04-30
T3088,S2614,7,system,unknown,0.66,0.57,misunderstanding,8,2025-04-14
T3089,S2561,4,user,service_lookup,0.68,0.75,,11,2025-03-02
T3090,S2373,9,system,repeat,0.69,0.62,,3,2025-04-17
T3091,S2621,13,system,service_lookup,0.47,0.57,noise,11,2025-01-27
T3092,S2087,3,system,repeat,0.77,0.69,,10,2025-01-04
T3093,S3043,12,system,repeat,0.9,0.95,,13,2025-03-01
T3094,S3013,8,user,start_application,0.39,0.9,,11,2025-04-05
T3095,S2013,8,system,repeat,0.83,0.8,misunderstanding,5,2025-01-19
T3096,S2132,13,user,start_application,0.59,0.72,,7,2025-01-17
T3097,S3057,4,user,unknown,0.93,0.66,,3,2025-03-02
T3098,S2891,7,user,service_lookup,0.72,0.97,,12,2025-02-03
T3099,S2591,4,system,service_lookup,0.65,0.91,silence,6,2025-04-09
T3100,S2582,13,system,repeat,0.66,0.58,,7,2025-02-20
T3101,S3178,12,user,repeat,0.77,0.87,misunderstanding,3,2025-01-17
T3102,S3101,1,system,start_application,0.43,0.67,silence,2,2025-03-25
T3103,S3195,1,system,unknown,0.43,0.91,silence,11,2025-03-21
T3104,S2288,14,system,start_application,0.56,0.74,noise,12,2025-03-10
T3105,S3012,1,user,unknown,0.8,0.63,,12,2025-04-08
T3106,S2878,2,system,start_application,0.89,0.79,silence,4,2025-04-30
T3107,S2006,6,system,service_lookup,0.61,0.78,misunderstanding,12,2025-02-08
T3108,S3183,12,user,start_application,0.66,0.88,silence,3,2025-03-12
T3109,S2239,10,user,unknown,0.42,0.85,,13,2025-03-14
T3110,S2535,11,system,service_lookup,0.63,0.95,,7,2025-01-14
T3111,S2069,5,system,unknown,0.45,0.98,,12,2025-01-16
T3112,S2215,11,user,repeat,0.47,0.57,misunderstanding,4,2025-04-18
T3113,S3127,2,user,start_application,0.73,0.8,noise,3,2025-01-24
T3114,S3077,8,system,start_application,0.52,0.72,,14,2025-02-19
T3115,S2805,9,user,start_application,0.6,0.88,misunderstanding,8,2025-03-13
T3116,S2329,7,user,start_application,0.76,0.44,,2,2025-04-21
T3117,S2847,12,user,service_lookup,0.78,0.8,,10,2025-01-26
T3118,S2044,14,user,unknown,0.84,0.58,,2,2025-01-17
T3119,S2828,12,system,start_application,0.69,0.84,misunderstanding,6,2025-01-26
T3120,S2197,9,system,unknown,0.35,0.91,misunderstanding,8,2025-02-13
T3121,S2895,4,user,start_application,0.85,0.72,,11,2025-02-12
T3122,S2331,13,system,start_application,0.91,0.82,,6,2025-04-18
T3123,S2695,7,user,start_application,0.71,0.88,misunderstanding,4,2025-02-26
T3124,S2026,5,user,repeat,0.77,0.6,,3,2025-04-16
T3125,S3189,5,system,service_lookup,0.69,0.51,,3,2025-01-03
T3126,S2317,3,user,unknown,0.63,0.99,noise,10,2025-03-12
T3127,S2364,9,user,start_application,0.72,0.85,silence,12,2025-03-10
T3128,S3126,13,user,unknown,0.84,0.96,silence,7,2025-01-20
T3129,S2959,10,system,unknown,0.74,0.85,,5,2025-04-12
T3130,S2372,5,user,repeat,0.55,0.91,,11,2025-02-09
T3131,S2244,6,user,start_application,0.63,0.52,,11,2025-01-05
T3132,S3192,3,system,start_application,0.52,0.71,,8,2025-03-03
T3133,S2477,10,user,repeat,0.78,0.79,misunderstanding,3,2025-01-25
T3134,S2124,7,user,start_application,0.97,0.55,silence,5,2025-01-09
T3135,S2536,9,user,repeat,0.57,0.78,,2,2025-04-30
T3136,S2705,9,user,repeat,0.89,0.47,silence,12,2025-04-19
T3137,S2530,14,user,start_application,0.63,0.58,,5,2025-01-14
T3138,S2785,13,system,start_application,0.64,0.88,,8,2025-01-11
T3139,S2253,10,system,service_lookup,0.7,0.81,misunderstanding,11,2025-01-18
T3140,S2120,14,user,service_lookup,0.74,0.79,,10,2025-04-20
T3141,S3055,10,user,unknown,0.62,0.84,,12,2025-03-26
T3142,S2660,5,user,repeat,0.62,0.85,,6,2025-04-30
T3143,S3060,7,user,service_lookup,0.78,0.89,,7,2025-01-06
T3144,S3036,13,user,unknown,0.73,0.7,,8,2025-01-03
T3145,S2087,12,user,service_lookup,0.66,0.78,,10,2025-03-15
T3146,S2045,12,user,start_application,0.76,0.7,,12,2025-01-21
T3147,S3142,13,system,service_lookup,0.54,0.71,misunderstanding,11,2025-03-02
T3148,S2932,3,user,unknown,0.2,0.73,,12,2025-03-14
T3149,S2744,6,user,unknown,0.39,0.68,silence,11,2025-02-10
T3150,S2966,12,user,start_application,0.86,0.82,,9,2025-03-01
T3151,S2762,8,user,service_lookup,0.35,0.51,,10,2025-03-23
T3152,S2761,13,system,start_application,0.75,0.58,,6,2025-02-03
T3153,S2793,8,user,repeat,0.77,0.53,,10,2025-04-24
T3154,S2743,2,user,service_lookup,0.49,0.6,,9,2025-03-19
T3155,S3069,6,user,start_application,0.63,0.47,,3,2025-03-08
T3156,S2557,7,user,repeat,0.71,0.78,,13,2025-04-11
T3157,S2525,12,system,service_lookup,0.61,0.87,,2,2025-04-02
T3158,S2596,7,system,service_lookup,0.66,0.81,silence,14,2025-04-16
T3159,S2839,3,user,start_application,0.65,0.73,,5,2025-03-19
T3160,S2002,14,system,repeat,0.87,0.79,,13,2025-03-28
T3161,S3051,14,user,unknown,0.77,0.79,,3,2025-03-17
T3162,S2156,9,user,service_lookup,0.56,0.62,,4,2025-02-20
T3163,S2854,2,user,start_application,0.81,0.64,misunderstanding,14,2025-03-22
T3164,S2510,11,system,start_application,0.74,0.64,,8,2025-02-05
T3165,S2686,3,user,service_lookup,0.51,0.76,misunderstanding,11,2025-04-13
T3166,S3137,11,system,start_application,0.87,0.72,silence,6,2025-04-19
T3167,S2570,2,user,service_lookup,0.62,0.57,,4,2025-02-04
T3168,S2714,11,user,service_lookup,0.78,0.78,silence,3,2025-03-04
T3169,S2238,9,system,repeat,0.73,0.79,,10,2025-04-30
T3170,S2302,4,system,start_application,0.7,0.75,misunderstanding,8,2025-02-28
T3171,S2606,2,system,unknown,0.7,0.79,,10,2025-04-26
T3172,S2990,3,system,service_lookup,0.87,0.93,,5,2025-03-15
T3173,S2333,13,user,start_application,0.79,0.69,,4,2025-04-17
T3174,S2112,4,user,service_lookup,0.81,0.84,silence,11,2025-01-14
T3175,S2361,14,user,service_lookup,0.91,0.82,noise,4,2025-03-30
T3176,S2800,10,user,unknown,0.68,0.69,silence,4,2025-03-24
T3177,S2096,13,system,repeat,0.69,0.91,misunderstanding,2,2025-03-03
T3178,S2015,6,system,service_lookup,0.52,0.52,,11,2025-01-21
T3179,S2555,5,system,repeat,0.71,0.83,,9,2025-02-10
T3180,S2375,3,user,unknown,0.67,0.37,,8,2025-03-01
T3181,S2741,10,system,service_lookup,0.66,0.88,,5,2025-02-26
T3182,S2389,8,system,service_lookup,0.7,0.78,silence,3,2025-04-04
T3183,S2619,8,user,service_lookup,0.8,0.8,,8,2025-04-13
T3184,S2823,7,user,unknown,0.84,0.88,,9,2025-01-12
T3185,S2319,3,system,service_lookup,0.8,0.76,,2,2025-02-26
T3186,S2195,14,system,service_lookup,0.81,0.54,silence,13,2025-02-09
T3187,S2417,1,system,start_application,0.62,0.77,,9,2025-01-10
T3188,S2606,5,user,start_application,0.69,0.93,,13,2025-03-03
T3189,S2567,1,user,repeat,0.79,0.8,,14,2025-01-13
T3190,S2543,6,user,start_application,0.82,0.84,,3,2025-04-30
T3191,S2230,11,user,start_application,0.89,0.77,noise,7,2025-03-03
T3192,S2883,7,system,unknown,0.81,0.77,,9,2025-03-08
T3193,S2520,12,user,service_lookup,0.78,0.74,misunderstanding,14,2025-04-09
T3194,S2702,5,system,service_lookup,0.79,0.63,,9,2025-02-11
T3195,S2845,4,system,repeat,0.67,0.79,,10,2025-04-08
T3196,S2672,2,user,repeat,0.64,0.92,,3,2025-03-06
T3197,S2020,5,user,start_application,0.8,0.67,silence,3,2025-03-08
T3198,S2587,9,user,service_lookup,0.76,0.62,,11,2025-02-15
T3199,S2897,4,system,repeat,0.89,0.84,silence,6,2025-03-31
T3200,S2370,14,user,start_application,0.87,0.97,,4,2025-04-04
T3201,S2077,2,user,unknown,0.72,0.68,,9,2025-04-20
T3202,S2647,13,user,repeat,0.74,0.76,,12,2025-03-09
T3203,S2139,6,system,service_lookup,0.8,0.94,misunderstanding,9,2025-04-26
T3204,S2552,8,user,repeat,0.53,0.94,,9,2025-02-06
T3205,S2997,2,system,service_lookup,0.8,0.89,,12,2025-02-27
T3206,S2281,9,system,unknown,0.63,0.8,,9,2025-03-13
T3207,S2439,7,user,repeat,0.87,0.86,,9,2025-03-03
T3208,S2269,14,user,start_application,0.16,0.77,,6,2025-02-16
T3209,S3157,13,user,start_application,0.67,0.72,,14,2025-04-20
T3210,S2745,2,user,service_lookup,0.83,0.76,silence,13,2025-04-13
T3211,S2103,11,user,service_lookup,0.85,0.6,noise,8,2025-04-28
T3212,S2765,5,user,service_lookup,0.73,0.65,,12,2025-04-11
T3213,S2094,5,system,repeat,0.46,0.73,,14,2025-01-31
T3214,S2728,7,system,start_application,0.88,0.71,,13,2025-01-30
T3215,S2479,13,user,service_lookup,0.52,0.93,misunderstanding,2,2025-01-26
T3216,S2779,5,user,repeat,0.61,0.73,silence,2,2025-02-28
T3217,S2012,11,system,service_lookup,0.63,0.88,,9,2025-03-21
T3218,S3170,14,user,repeat,0.86,0.94,,6,2025-03-27
T3219,S2600,6,user,start_application,0.82,0.8,misunderstanding,13,2025-04-06
T3220,S2094,14,user,start_application,0.74,0.92,,5,2025-04-20
T3221,S2292,9,system,service_lookup,0.81,0.53,silence,8,2025-04-17
T3222,S2024,3,user,unknown,0.7,0.77,,14,2025-01-13
T3223,S3189,3,system,service_lookup,0.31,0.69,,9,2025-01-25
T3224,S2938,8,user,service_lookup,0.97,0.71,silence,11,2025-02-25
T3225,S2761,10,system,start_application,0.87,0.82,,8,2025-02-25
T3226,S3110,12,system,unknown,0.85,0.75,,10,2025-02-23
T3227,S2653,6,system,service_lookup,0.92,0.84,,10,2025-03-19
T3228,S2984,12,user,repeat,0.67,0.98,,11,2025-03-06
T3229,S2637,10,user,repeat,0.55,0.83,misunderstanding,10,2025-03-22
T3230,S2490,3,user,start_application,0.23,0.6,,10,2025-02-22
T3231,S3164,2,user,start_application,0.87,0.71,,10,2025-02-09
T3232,S3126,13,user,service_lookup,0.79,0.88,silence,2,2025-03-21
T3233,S2574,2,system,service_lookup,0.75,0.73,,12,2025-01-21
T3234,S2293,2,user,start_application,0.67,0.87,misunderstanding,6,2025-04-13
T3235,S2895,5,system,service_lookup,0.87,0.67,misunderstanding,11,2025-04-24
T3236,S2039,12,user,start_application,0.86,0.83,,2,2025-04-19
T3237,S2775,5,user,service_lookup,0.86,0.92,silence,7,2025-01-27
T3238,S2519,1,user,start_application,0.75,0.68,misunderstanding,8,2025-03-12
T3239,S2545,2,user,start_application,0.43,0.9,,12,2025-03-04
T3240,S2235,2,user,unknown,0.93,0.93,,6,2025-04-27
T3241,S2462,4,system,start_application,0.84,0.93,,3,2025-01-28
T3242,S2482,7,user,service_lookup,0.84,0.67,,10,2025-04-05
T3243,S2429,3,system,service_lookup,0.92,0.68,silence,9,2025-04-16
T3244,S3045,5,system,start_application,0.65,0.63,,2,2025-04-09
T3245,S2342,11,user,start_application,0.85,0.89,silence,9,2025-04-07
T3246,S3063,9,system,start_application,0.53,0.7,,2,2025-04-03
T3247,S3196,5,user,start_application,0.97,0.62,silence,13,2025-02-13
T3248,S2132,9,user,repeat,0.91,0.94,,12,2025-02-11
T3249,S2350,1,user,unknown,0.77,0.8,silence,6,2025-02-08
T3250,S2505,9,user,service_lookup,0.8,0.84,,11,2025-03-29
T3251,S2083,14,system,repeat,0.8,0.58,,8,2025-02-27
T3252,S2992,5,system,service_lookup,0.4,0.84,,7,2025-04-16
T3253,S2829,8,user,start_application,0.94,0.84,,3,2025-02-05
T3254,S2860,5,user,start_application,0.89,0.74,misunderstanding,4,2025-04-25
T3255,S2342,14,user,start_application,0.91,0.79,,7,2025-02-22
T3256,S2865,12,system,service_lookup,0.81,0.6,,4,2025-03-22
T3257,S3189,6,user,repeat,0.73,0.81,,2,2025-03-11
T3258,S2292,8,user,service_lookup,0.86,0.91,,3,2025-04-07
T3259,S3193,2,system,service_lookup,0.87,0.9,,10,2025-02-25
T3260,S2597,3,user,service_lookup,0.51,0.88,,12,2025-04-27
T3261,S2644,11,system,start_application,0.96,0.63,,4,2025-02-17
T3262,S2447,9,user,service_lookup,0.68,0.87,,4,2025-04-22
T3263,S2689,5,system,service_lookup,0.6,0.61,silence,6,2025-02-13
T3264,S3001,5,user,service_lookup,0.89,0.77,,14,2025-03-31
T3265,S2854,9,user,service_lookup,0.78,0.99,misunderstanding,2,2025-02-13
T3266,S2501,10,system,service_lookup,0.94,0.89,,12,2025-01-07
T3267,S2763,3,system,service_lookup,0.85,0.84,misunderstanding,2,2025-04-26
T3268,S2734,14,system,start_application,0.7,0.81,,2,2025-02-06
T3269,S2249,4,user,start_application,0.49,0.6,,14,2025-03-21
T3270,S2600,7,system,service_lookup,0.81,0.74,,5,2025-03-07
T3271,S2124,2,user,start_application,0.56,0.54,silence,14,2025-04-22
T3272,S2112,8,user,service_lookup,0.86,0.89,,10,2025-03-28
T3273,S2980,5,user,service_lookup,0.64,0.4,,6,2025-04-19
T3274,S3160,1,system,repeat,0.77,0.83,,9,2025-02-10
T3275,S2149,3,system,start_application,0.81,0.73,,12,2025-02-08
T3276,S2874,9,user,unknown,0.56,0.97,silence,4,2025-04-06
T3277,S2342,5,user,service_lookup,0.55,0.78,misunderstanding,11,2025-02-05
T3278,S2579,8,user,repeat,0.64,0.65,,5,2025-04-03
T3279,S2782,1,user,repeat,0.73,0.9,,6,2025-01-08
T3280,S2320,14,user,unknown,0.93,0.74,misunderstanding,13,2025-04-17
T3281,S2821,7,system,unknown,0.64,0.8,,3,2025-02-12
T3282,S2531,7,system,service_lookup,0.89,0.49,silence,4,2025-01-15
T3283,S2491,8,system,service_lookup,0.54,0.91,misunderstanding,2,2025-03-19
T3284,S2611,3,user,start_application,0.65,0.73,silence,14,2025-02-23
T3285,S2251,1,user,service_lookup,0.7,0.68,noise,8,2025-01-06
T3286,S3100,11,user,repeat,0.76,0.77,silence,7,2025-02-20
T3287,S2172,9,system,service_lookup,0.82,0.7,,12,2025-01-13
T3288,S2874,1,user,repeat,0.61,0.97,misunderstanding,3,2025-03-17
T3289,S2200,11,system,service_lookup,0.88,0.73,,10,2025-01-27
T3290,S2216,6,system,service_lookup,0.82,0.74,,4,2025-02-03
T3291,S2375,9,user,unknown,0.59,0.81,,4,2025-02-20
T3292,S2010,14,user,service_lookup,0.83,0.65,,12,2025-03-16
T3293,S3035,2,system,service_lookup,0.85,0.93,,14,2025-01-28
T3294,S2891,4,system,service_lookup,0.84,0.92,,14,2025-03-12
T3295,S2434,2,user,unknown,0.76,0.76,silence,2,2025-04-09
T3296,S2817,4,user,repeat,0.86,0.87,,14,2025-04-29
T3297,S2930,2,system,repeat,0.3,0.72,noise,11,2025-02-04
T3298,S2690,12,system,start_application,0.94,0.63,,8,2025-01-20
T3299,S3155,1,user,service_lookup,0.32,0.58,,2,2025-03-16
T3300,S2854,11,user,service_lookup,0.92,0.84,,9,2025-03-26
T3301,S2783,3,user,service_lookup,0.41,0.66,,12,2025-01-02
T3302,S2318,8,system,start_application,0.71,0.76,,3,2025-01-21
T3303,S2843,5,user,start_application,0.86,0.71,,4,2025-04-01
T3304,S2620,4,system,service_lookup,0.52,0.73,silence,10,2025-02-11
T3305,S2784,5,user,service_lookup,0.56,0.74,misunderstanding,12,2025-01-22
T3306,S3191,6,user,service_lookup,0.65,0.81,,13,2025-03-30
T3307,S2396,6,user,service_lookup,0.57,0.83,misunderstanding,11,2025-02-27
T3308,S3081,5,user,service_lookup,0.41,0.75,,9,2025-02-05
T3309,S2459,12,system,service_lookup,0.5,0.92,,7,2025-04-05
T3310,S2060,11,system,service_lookup,0.87,0.68,misunderstanding,8,2025-01-16
T3311,S2368,12,user,unknown,0.49,0.67,silence,2,2025-04-22
T3312,S3144,6,user,service_lookup,0.82,0.75,silence,2,2025-02-06
T3313,S2718,9,system,repeat,0.56,0.8,,12,2025-04-26
T3314,S2545,5,user,start_application,0.85,0.68,misunderstanding,12,2025-01-21
T3315,S3040,13,user,start_application,0.82,0.83,silence,3,2025-04-03
T3316,S2495,6,user,service_lookup,0.71,0.95,,14,2025-03-06
T3317,S2496,4,system,start_application,0.37,0.72,,11,2025-02-28
T3318,S2504,13,user,service_lookup,0.6,0.87,,7,2025-04-30
T3319,S2968,3,system,service_lookup,0.77,0.92,,13,2025-04-15
T3320,S3092,13,user,unknown,0.59,0.71,silence,8,2025-03-08
T3321,S2160,12,user,start_application,0.5,0.87,misunderstanding,3,2025-04-19
T3322,S2717,6,user,service_lookup,0.54,0.72,noise,4,2025-01-26
T3323,S3168,11,user,start_application,0.73,0.86,,14,2025-02-04
T3324,S2992,11,system,service_lookup,0.82,0.67,silence,14,2025-01-09
T3325,S2268,5,system,repeat,0.63,0.76,,3,2025-04-02
T3326,S2698,4,user,start_application,0.59,0.85,,13,2025-01-09
T3327,S2864,5,system,service_lookup,0.79,0.9,,3,2025-03-18
T3328,S2349,7,user,service_lookup,0.82,0.75,misunderstanding,2,2025-01-23
T3329,S2109,1,user,start_application,0.95,0.94,misunderstanding,14,2025-02-22
T3330,S2406,14,system,start_application,0.88,0.64,misunderstanding,2,2025-02-18
T3331,S2649,1,system,start_application,0.89,0.89,,9,2025-04-15
T3332,S2050,11,system,repeat,0.58,0.77,noise,13,2025-04-18
T3333,S3110,13,user,start_application,0.52,0.43,,13,2025-02-07
T3334,S3091,1,user,service_lookup,0.97,0.78,,12,2025-01-03
T3335,S2595,2,user,unknown,0.38,0.8,silence,11,2025-01-21
T3336,S2978,9,system,service_lookup,0.87,0.58,,3,2025-04-17
T3337,S3065,13,system,start_application,0.71,0.65,,11,2025-01-31
T3338,S2730,5,user,unknown,0.58,0.88,misunderstanding,9,2025-03-02
T3339,S2056,14,system,start_application,0.73,0.52,,10,2025-02-14
T3340,S2737,9,user,start_application,0.72,0.68,,9,2025-02-15
T3341,S2195,13,system,service_lookup,0.82,0.85,,5,2025-04-21
T3342,S3085,5,user,repeat,0.96,0.96,,13,2025-01-15
T3343,S2111,14,user,service_lookup,0.85,0.91,misunderstanding,10,2025-03-22
T3344,S2764,7,user,repeat,0.35,0.77,misunderstanding,11,2025-03-19
T3345,S2710,14,user,service_lookup,0.78,0.8,,11,2025-01-16
T3346,S2947,14,system,service_lookup,0.57,0.5,,2,2025-04-16
T3347,S2025,6,system,service_lookup,0.9,0.78,,4,2025-01-17
T3348,S2409,2,system,service_lookup,0.49,0.57,misunderstanding,4,2025-01-26
T3349,S2757,3,system,unknown,0.46,0.94,,7,2025-04-22
T3350,S2530,5,user,unknown,0.89,0.74,misunderstanding,7,2025-03-19
T3351,S3129,4,system,start_application,0.6,0.59,,8,2025-02-14
T3352,S2748,14,system,service_lookup,0.88,0.85,,11,2025-04-10
T3353,S2245,11,user,service_lookup,0.88,0.76,,11,2025-01-22
T3354,S3104,6,user,start_application,0.61,0.85,,8,2025-03-08
T3355,S2661,8,system,service_lookup,0.87,0.55,silence,10,2025-03-08
T3356,S2908,8,user,repeat,0.66,0.76,,14,2025-03-20
T3357,S2395,3,system,service_lookup,0.95,0.8,misunderstanding,13,2025-03-09
T3358,S2521,4,user,start_application,0.59,0.62,misunderstanding,11,2025-02-01
T3359,S2925,1,user,repeat,0.67,0.64,,7,2025-01-16
T3360,S2263,2,user,start_application,0.86,0.64,misunderstanding,3,2025-03-01
T3361,S2789,13,user,repeat,0.93,0.78,,6,2025-01-30
T3362,S2171,9,user,repeat,0.43,0.85,,12,2025-04-07
T3363,S2264,12,user,start_application,0.82,0.73,,13,2025-02-06
T3364,S3049,10,user,start_application,0.52,0.72,,14,2025-01-08
T3365,S2475,10,system,service_lookup,0.78,0.9,,2,2025-01-31
T3366,S2355,2,user,unknown,0.48,0.6,,4,2025-04-04
T3367,S3049,12,system,start_application,0.53,0.66,,5,2025-04-12
T3368,S2033,6,user,repeat,0.91,0.56,misunderstanding,12,2025-01-03
T3369,S2263,14,system,start_application,0.73,0.74,,6,2025-03-25
T3370,S3161,7,system,service_lookup,0.24,0.42,,9,2025-01-05
T3371,S2815,6,user,unknown,0.46,0.89,,5,2025-02-15
T3372,S2874,8,system,service_lookup,0.84,0.83,,9,2025-02-12
T3373,S2753,9,user,unknown,0.95,0.65,,9,2025-03-10
T3374,S2565,8,user,service_lookup,0.53,0.83,,11,2025-03-07
T3375,S2461,5,system,service_lookup,0.47,0.39,,8,2025-02-20
T3376,S3191,8,user,start_application,0.7,0.68,,10,2025-03-31
T3377,S2654,10,user,unknown,0.67,0.86,,12,2025-01-16
T3378,S2080,10,system,unknown,0.86,0.82,misunderstanding,10,2025-02-09
T3379,S2756,9,system,repeat,0.92,0.94,,12,2025-02-18
T3380,S2869,14,system,service_lookup,0.92,0.91,silence,8,2025-04-06
T3381,S3069,8,user,service_lookup,0.8,0.74,misunderstanding,12,2025-04-26
T3382,S2598,2,system,start_application,0.88,0.9,misunderstanding,7,2025-03-07
