application_id,session_id,user_id,service_code,channel,status,time_to_submit_sec,submitted_at
A4132,S2331,U1247,LAND,web,abandoned,630,2025-04-11
A4133,S2442,U1077,ID_REPLACEMENT,voice,completed,437,2025-01-16
A4134,S3152,U1366,LAND,web,completed,327,2025-02-17
A4135,S2682,U1202,DL,web,abandoned,232,2025-01-15
A4136,S2768,U1386,BIRTH_CERT,ussd,abandoned,912,2025-02-04
A4137,S2751,U1377,LAND,voice,completed,493,2025-02-08
A4138,S2675,U1470,LAND,voice,completed,622,2025-03-16
A4139,S2155,U1135,ID_REPLACEMENT,web,failed,580,2025-02-18
A4140,S2520,U1427,DL,web,abandoned,190,2025-03-27
A4141,S3075,U1345,BIRTH_CERT,web,completed,932,2025-01-19
A4142,S2789,U1461,DL,voice,completed,481,2025-04-11
A4143,S2682,U1253,DL,voice,completed,357,2025-01-04
A4144,S2382,U1132,DL,ussd,completed,511,2025-02-19
A4145,S2267,U1185,DL,voice,completed,286,2025-02-25
A4146,S2422,U1469,BIRTH_CERT,web,completed,1080,2025-03-30
A4147,S2211,U1461,DL,voice,abandoned,1198,2025-04-14
A4148,S2308,U1011,ID_REPLACEMENT,voice,completed,185,2025-01-06
A4149,S2982,U1254,LAND,ussd,completed,1835,2025-04-19
A4150,S3077,U1194,DL,voice,completed,1489,2025-04-01
A4151,S3069,U1236,ID_REPLACEMENT,ussd,abandoned,133,2025-04-27
A4152,S2273,U1093,ID_REPLACEMENT,web,failed,362,2025-01-02
A4153,S2262,U1019,LAND,voice,failed,198,2025-02-16
A4154,S2016,U1386,LAND,voice,abandoned,337,2025-03-16
A4155,S2872,U1288,ID_REPLACEMENT,voice,abandoned,33,2025-04-12
A4156,S2120,U1460,LAND,ussd,completed,217,2025-03-15
A4157,S2715,U1493,LAND,voice,failed,213,2025-01-21
A4158,S2493,U1145,DL,voice,abandoned,116,2025-03-23
A4159,S2441,U1074,LAND,ussd,completed,635,2025-04-10
A4160,S2587,U1409,DL,ussd,completed,668,2025-01-06
A4161,S3056,U1006,LAND,voice,completed,173,2025-02-14
A4162,S3197,U1089,LAND,ussd,completed,184,2025-03-21
A4163,S2337,U1258,LAND,ussd,abandoned,673,2025-03-24
A4164,S2551,U1384,ID_REPLACEMENT,web,completed,800,2025-03-02
A4165,S2090,U1244,DL,ussd,completed,481,2025-04-05
A4166,S2684,U1016,ID_REPLACEMENT,ussd,failed,280,2025-04-23
A4167,S3149,U1395,DL,voice,abandoned,1263,2025-03-22
A4168,S2622,U1368,LAND,voice,failed,468,2025-01-12
A4169,S2503,U1101,DL,web,abandoned,334,2025-03-25
A4170,S2274,U1200,BIRTH_CERT,voice,completed,99,2025-01-24
A4171,S2340,U1080,LAND,web,completed,742,2025-01-09
A4172,S2045,U1382,ID_REPLACEMENT,web,completed,863,2025-02-25
A4173,S2804,U1102,LAND,voice,completed,896,2025-02-15
A4174,S2102,U1465,BIRTH_CERT,web,completed,627,2025-03-27
A4175,S2320,U1249,LAND,voice,failed,305,2025-01-30
A4176,S2518,U1119,DL,voice,failed,1392,2025-02-19
A4177,S2702,U1022,BIRTH_CERT,web,completed,477,2025-03-02
A4178,S2738,U1474,BIRTH_CERT,web,failed,83,2025-01-07
A4179,S2927,U1257,LAND,web,completed,561,2025-01-15
A4180,S2199,U1410,DL,voice,abandoned,286,2025-03-06
A4181,S2334,U1104,BIRTH_CERT,voice,failed,118,2025-01-15
A4182,S2808,U1125,ID_REPLACEMENT,voice,completed,445,2025-01-18
A4183,S2101,U1310,ID_REPLACEMENT,voice,completed,673,2025-01-21
A4184,S2390,U1113,DL,voice,abandoned,141,2025-02-16
A4185,S2743,U1014,DL,web,completed,185,2025-03-06
A4186,S2045,U1241,DL,web,completed,1291,2025-03-16
A4187,S3135,U1299,LAND,voice,failed,1376,2025-04-19
A4188,S3184,U1228,BIRTH_CERT,voice,completed,215,2025-01-16
A4189,S2580,U1196,ID_REPLACEMENT,voice,completed,620,2025-02-03
A4190,S2833,U1350,BIRTH_CERT,ussd,completed,390,2025-03-21
A4191,S2696,U1360,DL,web,completed,316,2025-03-16
A4192,S2243,U1304,LAND,ussd,completed,287,2025-01-09
A4193,S2417,U1318,ID_REPLACEMENT,voice,completed,1355,2025-04-18
A4194,S2845,U1228,DL,web,completed,381,2025-01-04
A4195,S2852,U1290,LAND,web,abandoned,73,2025-03-07
A4196,S2701,U1018,LAND,voice,abandoned,310,2025-03-01
A4197,S2886,U1180,BIRTH_CERT,web,failed,231,2025-01-22
A4198,S2695,U1219,DL,voice,abandoned,233,2025-01-06
A4199,S2038,U1001,BIRTH_CERT,web,abandoned,797,2025-01-29
A4200,S2717,U1483,ID_REPLACEMENT,web,completed,535,2025-01-12
A4201,S2324,U1179,BIRTH_CERT,voice,abandoned,240,2025-03-10
A4202,S2216,U1403,LAND,web,abandoned,431,2025-04-30
A4203,S2623,U1369,ID_REPLACEMENT,web,completed,319,2025-01-18
A4204,S2147,U1498,LAND,voice,abandoned,78,2025-04-07
A4205,S2905,U1186,ID_REPLACEMENT,ussd,completed,197,2025-04-30
A4206,S2615,U1386,ID_REPLACEMENT,voice,abandoned,1268,2025-03-07
A4207,S2873,U1263,BIRTH_CERT,voice,failed,80,2025-01-23
A4208,S2416,U1039,BIRTH_CERT,voice,abandoned,304,2025-04-18
A4209,S3101,U1029,BIRTH_CERT,ussd,completed,576,2025-02-11
A4210,S2370,U1011,ID_REPLACEMENT,web,abandoned,759,2025-02-02
A4211,S2752,U1176,BIRTH_CERT,web,abandoned,287,2025-03-05
A4212,S2981,U1115,DL,web,completed,240,2025-04-30
A4213,S2317,U1102,ID_REPLACEMENT,voice,abandoned,531,2025-01-05
A4214,S2600,U1272,DL,voice,completed,56,2025-01-31
A4215,S2466,U1321,BIRTH_CERT,web,completed,434,2025-03-02
A4216,S2681,U1484,BIRTH_CERT,voice,abandoned,1485,2025-04-16
A4217,S2202,U1123,BIRTH_CERT,web,completed,551,2025-04-22
A4218,S2400,U1022,DL,web,completed,65,2025-01-14
A4219,S3113,U1166,BIRTH_CERT,voice,completed,307,2025-02-21
A4220,S2332,U1126,DL,web,completed,368,2025-01-05
A4221,S3039,U1282,BIRTH_CERT,voice,failed,353,2025-01-22
A4222,S2330,U1184,LAND,voice,failed,40,2025-01-22
A4223,S2853,U1018,BIRTH_CERT,voice,failed,295,2025-01-28
A4224,S2867,U1171,ID_REPLACEMENT,web,failed,513,2025-04-25
A4225,S2479,U1121,ID_REPLACEMENT,web,completed,1753,2025-03-02
A4226,S2079,U1321,BIRTH_CERT,voice,abandoned,1204,2025-01-09
A4227,S2356,U1287,LAND,voice,completed,814,2025-04-02
A4228,S2994,U1288,DL,web,completed,100,2025-03-08
A4229,S2769,U1170,DL,web,abandoned,288,2025-04-28
A4230,S2977,U1252,LAND,ussd,abandoned,774,2025-04-18
A4231,S2815,U1231,LAND,web,completed,193,2025-02-08
A4232,S2536,U1278,LAND,web,abandoned,669,2025-04-15
A4233,S2745,U1013,LAND,web,failed,379,2025-03-31
A4234,S2167,U1207,BIRTH_CERT,voice,completed,525,2025-03-19
A4235,S2156,U1440,ID_REPLACEMENT,ussd,completed,1666,2025-03-06
A4236,S2120,U1353,BIRTH_CERT,web,completed,377,2025-01-10
A4237,S2804,U1184,ID_REPLACEMENT,web,completed,57,2025-01-31
A4238,S2238,U1185,ID_REPLACEMENT,web,completed,818,2025-02-17
A4239,S2846,U1445,LAND,ussd,abandoned,329,2025-04-13
A4240,S2217,U1295,LAND,web,failed,267,2025-02-18
A4241,S2577,U1299,LAND,ussd,completed,1566,2025-03-22
A4242,S2884,U1302,LAND,web,completed,562,2025-02-06
A4243,S2509,U1339,ID_REPLACEMENT,ussd,failed,729,2025-03-09
A4244,S2766,U1363,LAND,web,failed,690,2025-04-15
A4245,S2215,U1045,DL,voice,completed,870,2025-01-04
A4246,S2477,U1105,ID_REPLACEMENT,web,completed,460,2025-03-20
A4247,S2751,U1227,DL,ussd,completed,620,2025-02-05
A4248,S2074,U1115,BIRTH_CERT,voice,completed,138,2025-03-25
A4249,S2064,U1052,BIRTH_CERT,voice,completed,182,2025-04-26
A4250,S2311,U1028,ID_REPLACEMENT,voice,completed,160,2025-04-15
A4251,S2483,U1250,DL,web,completed,74,2025-02-03
A4252,S2563,U1432,DL,voice,completed,650,2025-03-17
A4253,S2060,U1052,LAND,web,failed,195,2025-01-08
A4254,S2802,U1136,DL,voice,completed,1437,2025-02-05
A4255,S3046,U1328,DL,web,abandoned,358,2025-01-30
A4256,S2588,U1280,ID_REPLACEMENT,voice,completed,310,2025-02-06
A4257,S2033,U1046,ID_REPLACEMENT,ussd,completed,134,2025-01-25
A4258,S2618,U1370,ID_REPLACEMENT,web,completed,713,2025-03-19
A4259,S2244,U1080,DL,ussd,completed,729,2025-04-07
A4260,S2447,U1433,ID_REPLACEMENT,voice,completed,1326,2025-02-02
A4261,S3034,U1326,DL,ussd,completed,848,2025-03-23
A4262,S2860,U1271,ID_REPLACEMENT,voice,abandoned,654,2025-01-28
A4263,S2576,U1292,BIRTH_CERT,ussd,completed,246,2025-01-06
A4264,S2149,U1377,BIRTH_CERT,ussd,completed,1211,2025-02-28
A4265,S3020,U1273,LAND,voice,failed,525,2025-04-08
A4266,S3064,U1422,BIRTH_CERT,web,abandoned,117,2025-04-05
A4267,S2774,U1461,ID_REPLACEMENT,voice,abandoned,144,2025-03-29
A4268,S2895,U1183,BIRTH_CERT,voice,completed,642,2025-01-24
A4269,S2665,U1081,LAND,voice,completed,469,2025-01-16
A4270,S2337,U1135,ID_REPLACEMENT,ussd,completed,278,2025-02-21
A4271,S3120,U1112,LAND,voice,completed,157,2025-03-02
A4272,S2562,U1056,BIRTH_CERT,web,completed,772,2025-02-20
A4273,S3047,U1344,BIRTH_CERT,web,completed,760,2025-01-05
A4274,S2012,U1019,BIRTH_CERT,ussd,completed,491,2025-03-11
A4275,S3041,U1312,LAND,voice,failed,468,2025-02-10
A4276,S3162,U1372,BIRTH_CERT,voice,completed,400,2025-04-21
A4277,S2697,U1384,DL,voice,abandoned,839,2025-04-20
A4278,S2020,U1109,ID_REPLACEMENT,ussd,completed,800,2025-03-15
A4279,S2808,U1124,DL,voice,completed,427,2025-03-28
A4280,S2315,U1471,BIRTH_CERT,voice,completed,718,2025-02-28
A4281,S2557,U1493,LAND,web,failed,330,2025-04-09
A4282,S2400,U1396,DL,voice,completed,249,2025-03-14
A4283,S2931,U1074,ID_REPLACEMENT,ussd,failed,1430,2025-03-01
A4284,S2371,U1051,LAND,web,completed,885,2025-04-12
A4285,S3109,U1357,LAND,voice,abandoned,666,2025-04-17
A4286,S2492,U1096,ID_REPLACEMENT,ussd,abandoned,197,2025-04-24
A4287,S2516,U1029,BIRTH_CERT,ussd,failed,406,2025-04-08
A4288,S2894,U1249,BIRTH_CERT,web,abandoned,1275,2025-01-05
A4289,S2044,U1336,BIRTH_CERT,ussd,completed,172,2025-03-23
A4290,S2714,U1440,ID_REPLACEMENT,ussd,completed,382,2025-03-06
A4291,S2818,U1493,BIRTH_CERT,web,failed,1089,2025-02-09
A4292,S2618,U1388,DL,web,completed,53,2025-04-12
A4293,S2363,U1102,LAND,voice,completed,829,2025-03-23
A4294,S2284,U1277,DL,web,completed,629,2025-02-11
A4295,S2202,U1050,ID_REPLACEMENT,web,abandoned,450,2025-02-10
A4296,S2372,U1381,ID_REPLACEMENT,voice,completed,451,2025-03-04
A4297,S2485,U1206,DL,web,completed,398,2025-01-28
A4298,S2426,U1073,ID_REPLACEMENT,voice,completed,746,2025-02-12
A4299,S2728,U1357,LAND,ussd,completed,647,2025-01-25
A4300,S2880,U1128,LAND,voice,abandoned,347,2025-03-17
A4301,S2561,U1045,BIRTH_CERT,voice,completed,690,2025-03-21
A4302,S2183,U1078,BIRTH_CERT,web,abandoned,199,2025-02-25
A4303,S3085,U1297,LAND,voice,completed,463,2025-01-07
A4304,S3123,U1041,ID_REPLACEMENT,voice,completed,512,2025-02-18
A4305,S2195,U1348,BIRTH_CERT,web,completed,1152,2025-03-30
A4306,S2936,U1319,ID_REPLACEMENT,web,abandoned,34,2025-03-02
A4307,S3035,U1404,BIRTH_CERT,voice,completed,420,2025-04-25
A4308,S2365,U1078,DL,voice,completed,697,2025-03-18
A4309,S2332,U1482,DL,voice,completed,191,2025-01-19
A4310,S2345,U1452,BIRTH_CERT,web,completed,660,2025-02-12
A4311,S3061,U1018,LAND,web,failed,220,2025-04-24
A4312,S2534,U1141,LAND,voice,completed,762,2025-02-23
A4313,S2117,U1014,ID_REPLACEMENT,web,completed,446,2025-01-25
A4314,S2834,U1178,BIRTH_CERT,web,abandoned,1052,2025-01-24
A4315,S2137,U1210,ID_REPLACEMENT,voice,failed,698,2025-04-09
A4316,S2329,U1218,BIRTH_CERT,web,failed,1231,2025-04-10
A4317,S3182,U1015,LAND,ussd,completed,695,2025-02-14
A4318,S3195,U1210,DL,web,completed,681,2025-04-14
A4319,S2420,U1308,DL,voice,failed,488,2025-04-25
A4320,S2476,U1310,DL,ussd,completed,1057,2025-03-05
A4321,S2020,U1254,BIRTH_CERT,voice,completed,405,2025-03-09
A4322,S2142,U1022,BIRTH_CERT,voice,abandoned,679,2025-03-03
A4323,S2233,U1163,ID_REPLACEMENT,voice,abandoned,215,2025-04-15
A4324,S2906,U1145,BIRTH_CERT,voice,abandoned,447,2025-01-09
A4325,S2481,U1300,DL,voice,completed,1281,2025-03-19
A4326,S3008,U1343,BIRTH_CERT,ussd,completed,699,2025-03-30
A4327,S2609,U1454,BIRTH_CERT,web,completed,296,2025-01-14
A4328,S2616,U1088,LAND,voice,completed,620,2025-04-17
A4329,S3177,U1239,ID_REPLACEMENT,ussd,completed,380,2025-04-21
A4330,S2307,U1235,DL,voice,abandoned,99,2025-03-15
A4331,S3073,U1172,LAND,voice,completed,641,2025-03-28
A4332,S2791,U1006,LAND,ussd,abandoned,1298,2025-03-16
A4333,S2367,U1196,DL,web,completed,404,2025-03-23
A4334,S2337,U1360,DL,web,abandoned,652,2025-01-21
A4335,S3049,U1215,DL,web,completed,2032,2025-04-04
A4336,S2808,U1083,LAND,web,failed,1792,2025-03-31
A4337,S2562,U1212,BIRTH_CERT,web,completed,124,2025-03-28
A4338,S2655,U1403,DL,voice,completed,137,2025-02-05
A4339,S2051,U1201,DL,web,failed,935,2025-01-16
A4340,S2376,U1376,LAND,web,failed,1087,2025-01-30
A4341,S2868,U1470,BIRTH_CERT,voice,completed,860,2025-03-14
A4342,S2818,U1244,DL,web,completed,753,2025-03-16
A4343,S2826,U1301,DL,voice,completed,1121,2025-01-24
A4344,S2761,U1032,DL,web,completed,485,2025-03-13
A4345,S2462,U1373,BIRTH_CERT,voice,completed,923,2025-03-30
A4346,S2757,U1270,ID_REPLACEMENT,voice,failed,683,2025-01-09
A4347,S2295,U1033,BIRTH_CERT,voice,completed,756,2025-01-02
A4348,S2143,U1078,DL,ussd,abandoned,934,2025-04-27
A4349,S2971,U1388,BIRTH_CERT,voice,completed,1742,2025-04-07
A4350,S2162,U1264,ID_REPLACEMENT,ussd,abandoned,734,2025-04-11
A4351,S2328,U1346,LAND,web,abandoned,366,2025-04-14
A4352,S2463,U1319,ID_REPLACEMENT,ussd,completed,1071,2025-03-12
A4353,S3013,U1121,LAND,web,completed,660,2025-03-13
A4354,S2386,U1443,BIRTH_CERT,voice,completed,334,2025-04-21
A4355,S2644,U1283,LAND,voice,abandoned,424,2025-03-13
A4356,S2694,U1264,LAND,voice,completed,145,2025-02-22
A4357,S2076,U1248,LAND,voice,abandoned,294,2025-03-27
A4358,S2431,U1305,DL,ussd,abandoned,166,2025-02-12
A4359,S2234,U1163,ID_REPLACEMENT,voice,abandoned,415,2025-03-07
A4360,S2988,U1264,BIRTH_CERT,web,completed,148,2025-03-09
A4361,S2948,U1250,LAND,ussd,completed,730,2025-03-24
A4362,S2410,U1030,DL,web,failed,656,2025-04-16
A4363,S2328,U1234,DL,voice,abandoned,457,2025-01-05
A4364,S2675,U1300,BIRTH_CERT,web,completed,1068,2025-04-27
A4365,S2035,U1438,DL,ussd,abandoned,434,2025-03-02
A4366,S2741,U1461,BIRTH_CERT,web,abandoned,1374,2025-03-01
A4367,S2747,U1270,ID_REPLACEMENT,voice,failed,577,2025-04-18
A4368,S2038,U1244,DL,voice,completed,63,2025-04-15
A4369,S2163,U1497,ID_REPLACEMENT,web,abandoned,396,2025-02-28
A4370,S3137,U1424,DL,ussd,completed,1936,2025-03-01
A4371,S2148,U1065,ID_REPLACEMENT,web,completed,954,2025-03-20
A4372,S2782,U1062,ID_REPLACEMENT,voice,completed,124,2025-03-12
A4373,S2087,U1118,BIRTH_CERT,voice,completed,1229,2025-04-23
A4374,S2942,U1109,LAND,web,completed,419,2025-03-17
A4375,S2680,U1106,LAND,web,completed,462,2025-02-08
A4376,S3159,U1376,ID_REPLACEMENT,web,completed,239,2025-04-23
A4377,S2305,U1479,DL,voice,completed,790,2025-04-20
A4378,S2238,U1115,ID_REPLACEMENT,voice,completed,1065,2025-03-17
A4379,S2339,U1026,LAND,voice,completed,754,2025-01-25
A4380,S2874,U1191,DL,voice,failed,1253,2025-01-07
A4381,S2351,U1187,BIRTH_CERT,voice,completed,710,2025-04-14
A4382,S2019,U1311,DL,web,completed,137,2025-03-14
A4383,S2610,U1326,BIRTH_CERT,ussd,completed,558,2025-04-24
A4384,S2224,U1397,LAND,voice,completed,580,2025-01-04
A4385,S2442,U1187,DL,voice,completed,207,2025-01-14
A4386,S2180,U1220,DL,ussd,completed,388,2025-04-17
A4387,S2143,U1423,DL,web,completed,132,2025-04-18
A4388,S2869,U1275,LAND,voice,abandoned,507,2025-01-30
A4389,S2101,U1358,ID_REPLACEMENT,voice,completed,755,2025-01-07
A4390,S2940,U1306,BIRTH_CERT,voice,failed,619,2025-02-28
A4391,S2143,U1388,DL,ussd,completed,445,2025-03-14
A4392,S2350,U1465,LAND,voice,failed,417,2025-03-12
A4393,S2748,U1071,LAND,voice,failed,542,2025-02-16
A4394,S3176,U1177,ID_REPLACEMENT,voice,abandoned,149,2025-04-08
A4395,S2618,U1198,ID_REPLACEMENT,ussd,completed,630,2025-03-15
A4396,S2889,U1087,LAND,voice,completed,1341,2025-01-02
A4397,S2775,U1443,BIRTH_CERT,web,abandoned,257,2025-01-11
A4398,S2456,U1341,BIRTH_CERT,ussd,completed,373,2025-01-09
A4399,S2780,U1403,DL,web,completed,882,2025-01-06
A4400,S2270,U1410,LAND,voice,completed,380,2025-01-22
A4401,S2308,U1147,LAND,ussd,completed,295,2025-01-14
A4402,S3011,U1389,ID_REPLACEMENT,web,completed,340,2025-01-16
A4403,S2260,U1127,BIRTH_CERT,ussd,completed,1152,2025-03-24
