s.session_id,s.user_id,channel,language,total_duration_sec,s.total_turns,final_outcome,is_completed,is_abandoned,is_transferred,transfer_reason,session_date,session_month,region,is_disabled,is_first_time_user,is_vulnerable_user,avg_asr_confidence,avg_intent_confidence,misunderstanding_rate,silence_rate,is_recovered,is_escalated,had_errors,user_turns,system_turns,total_error_turns,misunderstanding_turns,silence_turns,noise_turns,turn_error_rate_pct,repeat_intent_rate_pct,intent_service_lookup_count,intent_start_application_count,intent_repeat_count,intent_unknown_count,avg_turn_intent_confidence,avg_turn_asr_confidence,total_application_attempts,had_successful_application,applications_completed,applications_abandoned,applications_failed,services_attempted,primary_service_code,application_channel,avg_time_to_submit_sec,high_confusion_session,high_misunderstanding_session,high_silence_session,had_application_attempt,end_to_end_success,vulnerable_user_completed
S2010,U1481,voice,KINYARWANDA,142,4,completed,1,0,0,user_request,"January 22, 2025","January 1, 2025",urban,0,1,1,0.71,0.8,0,0.25,1,0,0,4,0,1,0,1,0,25,0,2,1,0,1,0,0,0,0,0,0,0,[],,,,0,0,0,0,0,1
S2011,U1303,voice,KINYARWANDA,82,10,completed,1,0,0,user_request,"March 18, 2025","March 1, 2025",urban,0,0,0,0.65,0.8,0.4,0.2,0,0,0,2,3,4,2,1,1,80,20,3,1,1,0,0,0,2,1,2,0,0,[BIRTH_CERT],BIRTH_CERT,ussd,"1,190",0,1,0,1,1,0
S2012,U1292,voice,KINYARWANDA,28,12,completed,1,0,0,,"March 21, 2025","March 1, 2025",urban,0,0,0,0.75,0.7,0.5,0,0,0,0,3,5,4,4,0,0,50,12.5,5,1,1,1,0,0,1,1,1,0,0,[BIRTH_CERT],BIRTH_CERT,ussd,491,0,1,0,1,1,0
S2013,U1462,voice,KINYARWANDA,209,13,transferred,0,0,1,,"April 26, 2025","April 1, 2025",urban,0,1,1,0.79,0.75,0.4,0,0,0,0,3,2,2,2,0,0,40,40,1,2,2,0,0,0,0,0,0,0,0,[],,,,1,1,0,0,0,0
S2014,U1299,voice,KINYARWANDA,105,7,completed,1,0,0,,"April 3, 2025","April 1, 2025",rural,0,0,0,0.73,0.77,0,0.33,1,1,0,2,4,2,0,2,0,33.3,0,3,1,0,2,0,0,1,0,0,1,0,[BIRTH_CERT],BIRTH_CERT,voice,,0,0,1,1,0,0
S2015,U1227,voice,KINYARWANDA,204,7,completed,1,0,0,,"January 6, 2025","January 1, 2025",rural,0,1,1,0.81,0.61,0.23,0.077,1,0,0,5,8,4,3,1,0,30.8,0,3,7,0,3,0,0,1,0,0,0,1,[DL],DL,voice,,0,0,0,1,0,1
S2016,U1270,voice,KINYARWANDA,120,4,completed,1,0,0,,"January 26, 2025","January 1, 2025",urban,0,0,0,0.71,0.77,0.13,0.25,1,0,0,2,6,3,1,2,0,37.5,75,1,1,6,0,0,0,2,0,0,1,1,"[BIRTH_CERT, LAND]",BIRTH_CERT,voice,,1,0,0,1,0,0
S2017,U1042,voice,KINYARWANDA,68,9,abandoned,0,1,0,,"March 16, 2025","March 1, 2025",rural,0,1,1,0.81,0.85,0,0.67,1,1,0,2,1,2,0,2,0,66.7,33.3,1,0,1,1,0,0,0,0,0,0,0,[],,,,1,0,1,0,0,0
S2018,U1431,voice,KINYARWANDA,50,10,completed,1,0,0,repeated_errors,"March 29, 2025","March 1, 2025",urban,0,0,0,0.77,0.66,0.2,0.2,1,0,0,2,3,3,1,1,1,60,20,3,1,1,0,0,0,2,1,1,0,1,[LAND],LAND,ussd,774,0,0,0,1,1,0
S2019,U1342,voice,KINYARWANDA,154,12,transferred,0,0,1,,"April 3, 2025","April 1, 2025",rural,0,0,0,0.65,0.77,0.33,0,0,0,0,2,1,1,1,0,0,33.3,33.3,1,1,1,0,0,0,1,1,1,0,0,[DL],DL,web,137,1,1,0,1,0,0
S2020,U1325,voice,KINYARWANDA,279,3,completed,1,0,0,,"January 3, 2025","January 1, 2025",urban,0,1,1,0.74,0.79,0.11,0.22,1,0,0,6,3,3,1,2,0,33.3,22.2,1,5,2,1,0,0,2,1,2,0,0,"[ID_REPLACEMENT, BIRTH_CERT]",ID_REPLACEMENT,ussd,602.5,1,0,0,1,1,1
S2021,U1301,voice,KINYARWANDA,145,4,transferred,0,0,1,,"February 21, 2025","February 1, 2025",rural,0,0,0,0.84,0.46,0,0.5,0,1,0,1,1,2,0,1,1,100,0,1,0,0,1,0,0,0,0,0,0,0,[],,,,0,0,1,0,0,0
S2022,U1497,voice,KINYARWANDA,66,12,completed,1,0,0,user_request,"March 15, 2025","March 1, 2025",rural,0,0,0,0.78,0.68,0.17,0,1,0,0,5,1,1,1,0,0,16.7,16.7,1,3,1,1,0,0,1,0,0,1,0,[ID_REPLACEMENT],ID_REPLACEMENT,web,,0,0,0,1,0,0
S2023,U1363,voice,KINYARWANDA,124,6,abandoned,0,1,0,user_request,"March 1, 2025","March 1, 2025",rural,0,0,0,0.78,0.78,0,0.5,1,1,0,2,2,2,0,2,0,50,25,2,1,1,0,0,0,0,0,0,0,0,[],,,,1,0,1,0,0,0
S2024,U1378,voice,KINYARWANDA,44,7,transferred,0,0,1,,"March 4, 2025","March 1, 2025",urban,1,1,1,0.72,0.62,0,0.14,1,0,0,3,4,1,0,1,0,14.3,14.3,1,3,1,2,0,0,1,1,1,0,0,[LAND],LAND,web,357,0,0,0,1,0,0
S2025,U1426,voice,KINYARWANDA,144,4,completed,1,0,0,,"March 6, 2025","March 1, 2025",rural,0,1,1,0.85,0.7,0.67,0,0,0,0,1,2,2,2,0,0,66.7,0,2,1,0,0,0,0,0,0,0,0,0,[],,,,0,1,0,0,0,1
S2026,U1492,voice,KINYARWANDA,183,3,transferred,0,0,1,system,"February 21, 2025","February 1, 2025",rural,0,1,1,0.69,0.75,0.17,0.17,1,0,0,4,2,2,1,1,0,33.3,16.7,1,3,1,1,0,0,0,0,0,0,0,[],,,,0,0,0,0,0,0
S2027,U1020,voice,KINYARWANDA,73,11,completed,1,0,0,,"April 17, 2025","April 1, 2025",urban,0,0,0,0.72,0.69,0.5,0.25,0,0,0,2,6,6,4,2,0,75,25,3,0,2,3,0,0,1,0,0,1,0,[ID_REPLACEMENT],ID_REPLACEMENT,web,,1,1,0,1,0,0
S2028,U1406,voice,KINYARWANDA,260,3,transferred,0,0,1,,"March 31, 2025","March 1, 2025",rural,0,0,0,0.76,0.72,0.5,0,0,0,0,6,2,4,4,0,0,50,12.5,5,1,1,1,0,0,0,0,0,0,0,[],,,,0,1,0,0,0,0
S2029,U1106,voice,KINYARWANDA,65,6,abandoned,0,1,0,,"March 17, 2025","March 1, 2025",rural,0,1,1,0.76,0.76,0,0,1,0,0,3,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,[],,,,0,0,0,0,0,0
S2030,U1335,voice,KINYARWANDA,123,4,completed,1,0,0,,"January 14, 2025","January 1, 2025",rural,0,0,0,0.69,0.73,0.38,0,0,0,0,4,4,3,3,0,0,37.5,25,2,2,2,2,0,0,2,1,1,0,1,[ID_REPLACEMENT],ID_REPLACEMENT,web,428,1,1,0,1,1,0
S2031,U1302,voice,KINYARWANDA,169,13,completed,1,0,0,,"March 30, 2025","March 1, 2025",rural,0,1,1,0.68,0.63,0.25,0.13,0,0,0,4,4,3,2,1,0,37.5,12.5,1,3,1,3,0,0,0,0,0,0,0,[],,,,0,0,0,0,0,1
S2032,U1116,voice,KINYARWANDA,73,6,completed,1,0,0,system,"March 13, 2025","March 1, 2025",urban,1,1,1,0.86,0.6,0.2,0.2,0,0,0,3,2,2,1,1,0,40,0,3,2,0,0,0,0,1,1,1,0,0,[DL],DL,voice,885,0,0,0,1,1,1
S2033,U1123,voice,KINYARWANDA,35,10,completed,1,0,0,repeated_errors,"April 17, 2025","April 1, 2025",rural,0,0,0,0.75,0.74,0.25,0.13,0,0,0,6,2,3,2,1,0,37.5,37.5,3,1,3,1,0,0,1,1,1,0,0,[ID_REPLACEMENT],ID_REPLACEMENT,ussd,134,1,0,0,1,1,0
S2034,U1398,voice,KINYARWANDA,42,10,completed,1,0,0,,"March 9, 2025","March 1, 2025",urban,1,0,1,0.88,0.69,0,0,1,0,0,2,3,1,0,0,1,20,20,1,3,1,0,0,0,0,0,0,0,0,[],,,,0,0,0,0,0,1
S2035,U1280,voice,KINYARWANDA,78,13,completed,1,0,0,system,"January 28, 2025","January 1, 2025",urban,0,0,0,0.65,0.64,0,0.5,1,1,0,2,2,3,0,2,1,75,25,1,2,1,0,0,0,2,1,1,1,0,[DL],DL,ussd,418,1,0,1,1,1,0
S2036,U1291,voice,KINYARWANDA,73,14,completed,1,0,0,,"March 12, 2025","March 1, 2025",rural,0,1,1,0.69,0.66,0.25,0.25,0,0,0,4,0,2,1,1,0,50,0,3,1,0,0,0,0,0,0,0,0,0,[],,,,0,0,0,0,0,1
S2037,U1202,voice,KINYARWANDA,98,11,abandoned,0,1,0,,"January 10, 2025","January 1, 2025",rural,0,1,1,0.78,0.67,0,0.4,1,1,0,2,3,2,0,2,0,40,20,2,0,1,2,0,0,0,0,0,0,0,[],,,,0,0,1,0,0,0
S2038,U1050,voice,KINYARWANDA,148,13,completed,1,0,0,repeated_errors,"April 25, 2025","April 1, 2025",urban,0,0,0,0.71,0.76,0.29,0.14,0,0,0,5,2,3,2,1,0,42.9,0,3,3,0,1,0,0,4,1,2,1,1,"[BIRTH_CERT, DL, ID_REPLACEMENT]",DL,web,298,0,0,0,1,1,0
S2039,U1270,voice,KINYARWANDA,185,14,completed,1,0,0,repeated_errors,"February 26, 2025","February 1, 2025",urban,0,0,0,0.73,0.75,0,0,1,0,0,3,2,0,0,0,0,0,20,2,2,1,0,0,0,0,0,0,0,0,[],,,,0,0,0,0,0,0
S2040,U1323,voice,KINYARWANDA,199,7,abandoned,0,1,0,,"April 10, 2025","April 1, 2025",rural,0,1,1,0.82,0.88,0.33,0.17,0,0,0,4,2,3,2,1,0,50,0,0,5,0,1,0,0,0,0,0,0,0,[],,,,0,1,0,0,0,0
S2041,U1276,voice,KINYARWANDA,358,9,completed,1,0,0,,"March 7, 2025","March 1, 2025",urban,0,1,1,0.8,0.67,0,0.29,1,0,0,4,3,2,0,2,0,28.6,14.3,3,3,1,0,0,0,1,1,1,0,0,[LAND],LAND,web,"1,151",0,0,0,1,1,1
S2042,U1140,voice,KINYARWANDA,51,5,completed,1,0,0,repeated_errors,"March 31, 2025","March 1, 2025",urban,1,0,1,0.59,0.84,0.33,0.33,0,1,0,3,0,2,1,1,0,66.7,0,3,0,0,0,0,0,1,1,1,0,0,[BIRTH_CERT],BIRTH_CERT,voice,322,0,1,1,1,1,1
S2043,U1469,voice,KINYARWANDA,365,12,completed,1,0,0,repeated_errors,"April 27, 2025","April 1, 2025",urban,0,0,0,0.81,0.71,0.17,0.17,1,0,0,2,4,2,1,1,0,33.3,33.3,1,1,2,2,0,0,0,0,0,0,0,[],,,,1,0,0,0,0,0
S2044,U1274,voice,KINYARWANDA,90,6,transferred,0,0,1,repeated_errors,"February 19, 2025","February 1, 2025",rural,0,0,0,0.68,0.65,0,0.33,1,1,0,3,0,1,0,1,0,33.3,0,2,0,0,1,0,0,1,1,1,0,0,[BIRTH_CERT],BIRTH_CERT,ussd,172,0,0,1,1,0,0
S2045,U1289,voice,KINYARWANDA,84,12,abandoned,0,1,0,,"January 14, 2025","January 1, 2025",rural,0,1,1,0.7,0.64,0.4,0.1,0,0,0,4,6,6,4,1,1,60,10,5,4,1,0,0,0,2,1,2,0,0,"[ID_REPLACEMENT, DL]",ID_REPLACEMENT,web,"1,077",0,1,0,1,0,0
S2046,U1333,voice,KINYARWANDA,179,11,completed,1,0,0,,"January 16, 2025","January 1, 2025",rural,0,0,0,0.81,0.69,0.17,0,1,0,0,3,3,3,1,0,2,50,33.3,2,0,2,2,0,0,0,0,0,0,0,[],,,,1,0,0,0,0,0
S2047,U1380,voice,KINYARWANDA,62,12,abandoned,0,1,0,,"February 23, 2025","February 1, 2025",rural,0,1,1,0.72,0.69,0.5,0,0,0,0,0,4,2,2,0,0,50,0,0,3,0,1,0,0,0,0,0,0,0,[],,,,0,1,0,0,0,0
S2048,U1451,voice,KINYARWANDA,159,12,completed,1,0,0,,"February 12, 2025","February 1, 2025",rural,0,0,0,0.7,0.77,0.2,0.2,1,0,0,3,2,2,1,1,0,40,20,3,1,1,0,0,0,2,1,1,1,0,"[ID_REPLACEMENT, DL]",ID_REPLACEMENT,web,353,0,0,0,1,1,0
S2049,U1495,voice,KINYARWANDA,271,14,abandoned,0,1,0,system,"February 11, 2025","February 1, 2025",rural,1,0,1,0.68,0.72,0,0.11,1,0,0,6,3,2,0,1,1,22.2,33.3,4,2,3,0,0,0,2,1,1,0,1,"[LAND, BIRTH_CERT]",LAND,web,382,1,0,0,1,0,0
S2050,U1372,voice,KINYARWANDA,74,3,abandoned,0,1,0,,"March 22, 2025","March 1, 2025",rural,0,0,0,0.77,0.64,0.29,0.14,0,0,0,3,4,4,2,1,1,57.1,42.9,1,2,3,1,0,0,0,0,0,0,0,[],,,,1,0,0,0,0,0
S2051,U1051,voice,KINYARWANDA,175,4,abandoned,0,1,0,,"April 20, 2025","April 1, 2025",urban,0,0,0,0.81,0.75,0,0,1,0,0,2,4,1,0,0,1,16.7,33.3,1,3,2,0,0,0,1,0,0,0,1,[DL],DL,web,,1,0,0,1,0,0
S2052,U1493,voice,KINYARWANDA,149,7,completed,1,0,0,user_request,"January 22, 2025","January 1, 2025",rural,0,1,1,0.64,0.66,0.33,0,0,0,0,4,2,2,2,0,0,33.3,0,2,3,0,1,0,0,0,0,0,0,0,[],,,,0,1,0,0,0,1
S2053,U1026,voice,KINYARWANDA,395,5,completed,1,0,0,,"March 9, 2025","March 1, 2025",rural,0,0,0,0.74,0.38,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,[],,,,0,0,0,0,0,0
S2054,U1156,voice,KINYARWANDA,19,4,completed,1,0,0,,"January 19, 2025","January 1, 2025",urban,0,1,1,0.64,0.65,0.5,0.25,0,0,0,1,3,3,2,1,0,75,0,2,0,0,2,0,0,1,1,1,0,0,[LAND],LAND,voice,413,0,1,0,1,1,1
S2055,U1238,voice,KINYARWANDA,66,3,transferred,0,0,1,user_request,"March 7, 2025","March 1, 2025",urban,0,0,0,0.84,0.84,0.25,0,0,0,0,3,1,1,1,0,0,25,25,1,1,1,1,0,0,1,0,0,1,0,[DL],DL,voice,,1,0,0,1,0,0
S2056,U1155,voice,KINYARWANDA,31,12,abandoned,0,1,0,user_request,"February 8, 2025","February 1, 2025",rural,0,0,0,0.65,0.72,0,0,1,0,0,1,2,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,[],,,,0,0,0,0,0,0
S2057,U1290,voice,KINYARWANDA,174,5,abandoned,0,1,0,repeated_errors,"March 14, 2025","March 1, 2025",rural,0,1,1,0.78,0.81,0.6,0,0,0,0,2,3,4,3,0,1,80,20,2,2,1,0,0,0,2,1,2,0,0,"[DL, BIRTH_CERT]",DL,ussd,288,0,1,0,1,0,0
S2058,U1135,voice,KINYARWANDA,114,3,transferred,0,0,1,,"January 19, 2025","January 1, 2025",rural,0,1,1,0.8,0.75,0.29,0.14,0,0,0,3,4,3,2,1,0,42.9,28.6,3,2,2,0,0,0,0,0,0,0,0,[],,,,1,0,0,0,0,0
S2059,U1143,voice,KINYARWANDA,299,14,completed,1,0,0,repeated_errors,"January 16, 2025","January 1, 2025",rural,0,0,0,0.46,0.64,0,1,1,1,1,1,0,1,0,1,0,100,0,0,1,0,0,0,0,1,1,1,0,0,[BIRTH_CERT],BIRTH_CERT,web,425,0,0,1,1,1,0
S2060,U1105,voice,KINYARWANDA,35,3,abandoned,0,1,0,user_request,"February 23, 2025","February 1, 2025",rural,0,1,1,0.81,0.83,0.5,0,0,0,0,2,2,2,2,0,0,50,0,3,0,0,1,0,0,2,1,1,0,1,[LAND],LAND,web,223,0,1,0,1,0,0
S2061,U1419,voice,KINYARWANDA,91,14,abandoned,0,1,0,,"January 25, 2025","January 1, 2025",urban,0,0,0,0.72,0.78,0.14,0,1,0,0,4,3,2,1,0,1,28.6,0,4,2,0,1,0,0,1,0,0,0,1,[ID_REPLACEMENT],ID_REPLACEMENT,web,,0,0,0,1,0,0
S2062,U1157,voice,KINYARWANDA,257,3,transferred,0,0,1,,"April 22, 2025","April 1, 2025",urban,0,0,0,0.85,0.58,0.17,0.17,0,0,0,4,2,2,1,1,0,33.3,0,3,2,0,1,0,0,2,0,0,0,2,[LAND],LAND,voice,,0,0,0,1,0,0
S2063,U1145,voice,KINYARWANDA,80,10,transferred,0,0,1,user_request,"January 18, 2025","January 1, 2025",rural,0,0,0,0.76,0.76,0,0.2,1,0,0,2,3,1,0,1,0,20,20,2,1,1,1,0,0,1,1,1,0,0,[BIRTH_CERT],BIRTH_CERT,ussd,802,0,0,0,1,0,0
S2064,U1001,voice,KINYARWANDA,74,5,abandoned,0,1,0,,"January 23, 2025","January 1, 2025",urban,0,0,0,0.68,0.73,0.29,0.29,0,0,0,5,2,5,2,2,1,71.4,14.3,3,1,1,2,0,0,1,1,1,0,0,[BIRTH_CERT],BIRTH_CERT,voice,182,0,0,0,1,0,0
S2065,U1432,voice,KINYARWANDA,65,13,completed,1,0,0,user_request,"April 27, 2025","April 1, 2025",urban,0,0,0,0.75,0.72,0.17,0,1,0,0,5,1,1,1,0,0,16.7,0,2,3,0,1,0,0,0,0,0,0,0,[],,,,0,0,0,0,0,0
S2066,U1076,voice,KINYARWANDA,45,3,abandoned,0,1,0,,"March 26, 2025","March 1, 2025",urban,0,1,1,0.69,0.68,0.29,0.14,0,0,0,1,6,3,2,1,0,42.9,14.3,2,0,1,4,0,0,0,0,0,0,0,[],,,,0,0,0,0,0,0
S2067,U1131,voice,KINYARWANDA,43,9,completed,1,0,0,,"January 11, 2025","January 1, 2025",rural,0,0,0,0.7,0.66,0.4,0.2,0,0,0,3,2,3,2,1,0,60,40,1,2,2,0,0,0,1,0,0,1,0,[ID_REPLACEMENT],ID_REPLACEMENT,web,,1,1,0,1,0,0
S2068,U1089,voice,KINYARWANDA,59,12,abandoned,0,1,0,,"February 8, 2025","February 1, 2025",rural,0,1,1,0.73,0.74,0,0.14,1,0,0,2,5,2,0,1,1,28.6,14.3,3,1,1,2,0,0,0,0,0,0,0,[],,,,0,0,0,0,0,0
S2069,U1344,voice,KINYARWANDA,21,5,transferred,0,0,1,user_request,"April 15, 2025","April 1, 2025",rural,0,0,0,0.8,0.68,0,0,1,0,0,2,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,[],,,,0,0,0,0,0,0
S2070,U1349,voice,KINYARWANDA,108,10,completed,1,0,0,,"March 9, 2025","March 1, 2025",urban,0,1,1,0.79,0.68,0,0.17,1,0,0,3,3,3,0,1,2,50,16.7,4,1,1,0,0,0,0,0,0,0,0,[],,,,0,0,0,0,0,1
S2071,U1458,voice,KINYARWANDA,67,6,abandoned,0,1,0,,"January 25, 2025","January 1, 2025",rural,0,1,1,0.71,0.61,0.17,0,1,0,0,5,1,1,1,0,0,16.7,0,3,3,0,0,0,0,0,0,0,0,0,[],,,,0,0,0,0,0,0
S2072,U1262,voice,KINYARWANDA,4,6,completed,1,0,0,repeated_errors,"March 4, 2025","March 1, 2025",rural,0,1,1,0.79,0.79,0.25,0,0,0,0,3,1,1,1,0,0,25,0,1,3,0,0,0,0,0,0,0,0,0,[],,,,0,0,0,0,0,1
S2073,U1350,voice,KINYARWANDA,22,7,completed,1,0,0,repeated_errors,"April 6, 2025","April 1, 2025",rural,1,0,1,0.76,0.76,0.14,0.29,1,0,0,4,3,3,1,2,0,42.9,42.9,1,2,3,1,0,0,1,0,0,1,0,[LAND],LAND,ussd,,1,0,0,1,0,1
S2074,U1107,voice,KINYARWANDA,4,8,completed,1,0,0,system,"January 30, 2025","January 1, 2025",urban,0,0,0,0.77,0.8,0,0,1,0,0,2,3,0,0,0,0,0,20,4,0,1,0,0,0,2,1,1,0,1,[BIRTH_CERT],BIRTH_CERT,voice,138,0,0,0,1,1,0
S2075,U1073,voice,KINYARWANDA,24,9,abandoned,0,1,0,,"February 14, 2025","February 1, 2025",urban,0,1,1,0.82,0.59,0.33,0,0,0,0,1,2,1,1,0,0,33.3,0,0,3,0,0,0,0,1,1,1,0,0,[BIRTH_CERT],BIRTH_CERT,voice,243,0,1,0,1,0,0
S2076,U1038,voice,KINYARWANDA,219,6,transferred,0,0,1,,"March 31, 2025","March 1, 2025",urban,0,1,1,0.87,0.64,0.33,0,0,0,0,5,1,2,2,0,0,33.3,16.7,3,0,1,2,0,0,1,0,0,1,0,[LAND],LAND,voice,,0,1,0,1,0,0
S2077,U1396,voice,KINYARWANDA,109,10,transferred,0,0,1,system,"March 2, 2025","March 1, 2025",urban,0,1,1,0.74,0.75,0.13,0.13,1,0,0,4,4,2,1,1,0,25,12.5,3,1,1,3,0,0,2,1,2,0,0,[LAND],LAND,web,413,0,0,0,1,0,0
S2078,U1158,voice,KINYARWANDA,66,8,completed,1,0,0,repeated_errors,"April 10, 2025","April 1, 2025",rural,0,0,0,0.86,0.64,0.17,0.17,1,0,0,6,6,5,2,2,1,41.7,33.3,2,4,4,2,0,0,0,0,0,0,0,[],,,,1,0,0,0,0,0
S2079,U1070,voice,KINYARWANDA,172,3,transferred,0,0,1,,"February 20, 2025","February 1, 2025",urban,0,1,1,0.77,0.63,0,0,1,0,0,1,2,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,1,0,[BIRTH_CERT],BIRTH_CERT,voice,,0,0,0,1,0,0
S2080,U1446,voice,KINYARWANDA,66,3,abandoned,0,1,0,,"April 8, 2025","April 1, 2025",urban,0,0,0,0.73,0.75,0.25,0,0,0,0,1,3,1,1,0,0,25,25,1,1,1,1,0,0,2,1,2,0,0,[DL],DL,ussd,511,1,0,0,1,0,0
S2081,U1311,voice,KINYARWANDA,27,11,completed,1,0,0,user_request,"January 9, 2025","January 1, 2025",rural,0,0,0,0.82,0.66,0.17,0,1,0,0,4,2,1,1,0,0,16.7,16.7,1,4,1,0,0,0,0,0,0,0,0,[],,,,0,0,0,0,0,0
S2082,U1240,voice,KINYARWANDA,61,12,completed,1,0,0,,"March 17, 2025","March 1, 2025",urban,0,0,0,0.75,0.54,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,[],,,,0,0,0,0,0,0
S2083,U1425,voice,KINYARWANDA,181,8,completed,1,0,0,repeated_errors,"January 2, 2025","January 1, 2025",rural,1,0,1,0.82,0.67,0.29,0,0,0,0,3,4,2,2,0,0,28.6,28.6,1,2,2,2,0,0,0,0,0,0,0,[],,,,1,0,0,0,0,1
S2084,U1444,voice,KINYARWANDA,115,12,transferred,0,0,1,,"April 12, 2025","April 1, 2025",urban,0,0,0,0.79,0.68,0.13,0.13,1,0,0,4,4,3,1,1,1,37.5,12.5,0,5,1,2,0,0,0,0,0,0,0,[],,,,0,0,0,0,0,0
S2085,U1297,voice,KINYARWANDA,198,10,abandoned,0,1,0,,"January 5, 2025","January 1, 2025",rural,0,1,1,0.76,0.72,0.29,0,0,0,0,3,4,3,2,0,1,42.9,14.3,3,2,1,1,0,0,1,1,1,0,0,[ID_REPLACEMENT],ID_REPLACEMENT,web,464,0,0,0,1,0,0
S2086,U1439,voice,KINYARWANDA,95,9,abandoned,0,1,0,repeated_errors,"March 3, 2025","March 1, 2025",rural,0,0,0,0.77,0.7,0.29,0.43,0,1,0,4,3,5,2,3,0,71.4,28.6,1,3,2,1,0,0,1,1,1,0,0,[LAND],LAND,ussd,233,1,0,1,1,0,0
S2087,U1035,voice,KINYARWANDA,60,14,completed,1,0,0,,"March 10, 2025","March 1, 2025",urban,0,0,0,0.73,0.73,0.14,0.14,1,0,0,5,2,3,1,1,1,42.9,28.6,3,1,2,1,0,0,1,1,1,0,0,[BIRTH_CERT],BIRTH_CERT,voice,"1,229",1,0,0,1,1,0
